1a. ZE - SÃO PAULO - BELA VISTA;ANHEMBI MORUMBI - LIB.BADARÓ (ANHANGABAÚ);RUA LÍBERO BADARÓ, 487;SÃO PAULO;510ª;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1a. ZE - SÃO PAULO - BELA VISTA;ANHEMBI MORUMBI - 13 DE MAIO (PAULISTA 2);RUA TREZE DE MAIO, 1266;SÃO PAULO;509ª;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1a. ZE - SÃO PAULO - BELA VISTA;COLÉGIO JOÃO E RAPHAELA PASSALACQUA;RUA JOÃO PASSALACQUA, 207;SÃO PAULO;Da 87ª à 97ª;; 460ª;" "",""87ª";" """;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1a. ZE - SÃO PAULO - BELA VISTA;COLÉGIO OBJETIVO;AV. PAULISTA, 900;SÃO PAULO;Da 1ª à 27ª;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1a. ZE - SÃO PAULO - BELA VISTA;COLÉGIO RIO BRANCO;AV. HIGIENÓPOLIS, 996;SÃO PAULO;Da 181ª à 209ª;;" """;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1a. ZE - SÃO PAULO - BELA VISTA;EE CAETANO DE CAMPOS;RUA JOÃO GUIMARÃES ROSA, 111;SÃO PAULO;Da 227ª à 251ª.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1a. ZE - SÃO PAULO - BELA VISTA;EE DRA. MARIA AUGUSTA SARAIVA;RUA MAJOR DIOGO, 200;SÃO PAULO;Da 131ª à 139ª;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1a. ZE - SÃO PAULO - BELA VISTA;EE MARIA JOSÉ;RUA TREZE DE MAIO, 267;SÃO PAULO;Da 71ª à 86ª;;" """;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1a. ZE - SÃO PAULO - BELA VISTA;EE PAULO MACHADO DE CARVALHO;RUA AGUIAR DE BARROS, 160;SÃO PAULO;494ª;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1a. ZE - SÃO PAULO - BELA VISTA;EE PRESIDENTE ROOSEVELT;RUA SÃO JOAQUIM, 320;SÃO PAULO;Da 290ª à 301ª;; 397ª; 403ª; 414ª; 425ª; 436ª; 444ª; 454ª;" "",""290ª";" """;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1a. ZE - SÃO PAULO - BELA VISTA;EE PROFESSORA MARINA CINTRA;RUA DA CONSOLAÇÃO, 1289;SÃO PAULO;Da 210ª à 226ª;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1a. ZE - SÃO PAULO - BELA VISTA;EE RODRIGUES ALVES;AV. PAULISTA, 227;SÃO PAULO;Da 28ª à 49ª;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1a. ZE - SÃO PAULO - BELA VISTA;EMEF CELSO LEITE RIBEIRO FILHO;RUA HUMAITÁ, 480;SÃO PAULO;Da 56ª à 70ª;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1a. ZE - SÃO PAULO - BELA VISTA;EMEF DUQUE DE CAXIAS;PRAÇA DR. MÁRIO MARGARIDO, 35;SÃO PAULO;399ª;; 457ª; 459ª; 461ª; 487ª; 491ª; 495ª; 507ª;" "",""399ª";" """;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1a. ZE - SÃO PAULO - BELA VISTA;ESTAÇÃO REPÚBLICA DO METRÔ;SEÇÕES INSTALADAS PRÓXIMO AO ACESSO PRINCIPAL;SÃO PAULO;Da 480ª à 485ª.;480ª;" """;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1a. ZE - SÃO PAULO - BELA VISTA;ESTAÇÃO SÉ DO METRÔ;SEÇÕES INSTALADAS NO PISO SUPERIOR, ACESSO À PRAÇA JOÃO MENDES;SÃO PAULO;Da 498ª à 502ª.;498ª;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1a. ZE - SÃO PAULO - BELA VISTA;FECAP - LIBERDADE;AV. LIBERDADE, 532;SÃO PAULO;Da 260ª à 289ª;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1a. ZE - SÃO PAULO - BELA VISTA;FECAP - SÃO FRANCISCO;LARGO SÃO FRANCISCO, 19;SÃO PAULO;Da 345ª à 354ª;; 453ª; 455ª; 467ª; 473ª; 478ª;" "",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1a. ZE - SÃO PAULO - BELA VISTA;FMU (PRÉDIO 16) - LIBERDADE;AVENIDA LIBERDADE, 899;SÃO PAULO;Da 302ª à 321ª;;" """;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
