neighbourhood,zone,name,address,sections1,sections2
"ACLIMAÇÃO","6a. ZE - SÃO PAULO - VILA MARIANA","COLÉGIO PAULO DE TARSO","RUA MAZZINI, 61","404ª; 413ª; 418ª; 423ª; 427ª; 440ª; 442ª; 446ª; 449ª; ",""
"ACLIMAÇÃO","6a. ZE - SÃO PAULO - VILA MARIANA","EE. CAETANO DE CAMPOS","RUA PIRES DA MOTA, 99","Da 148ª à 169ª; 311ª; 323ª; 352ª; 358ª; ","311ª; "
"ACLIMAÇÃO","6a. ZE - SÃO PAULO - VILA MARIANA","UNIP. UNIVERSIDADE PAULISTA  VERGUEIRO","RUA APENINOS, 267","Da 170ª à 183ª; 322ª; 347ª; 374ª; 378ª; 382ª; 387ª; 390ª; 393ª; 396ª; 410ª; ","378ª; "
"AGUA BRANCA","2a. ZE - SÃO PAULO - PERDIZES","ASSOCIAÇÃO CÍVICA FEMININA","AVENIDA FRANCISCO MATARAZZO, 385","Da 64ª à 69ª; 354ª; Da 356ª à 357ª; 359ª; 367ª; 520ª; ","357ª; "
"AGUA BRANCA","2a. ZE - SÃO PAULO - PERDIZES","COLÉGIO DAS AMÉRICAS","AV. FRANCISCO MATARAZZO, 913","Da 1ª à 27ª; 342ª; 369ª; 435ª; ","435ª; "
"AGUA BRANCA","250a. ZE - SÃO PAULO - LAPA","EE. DR. EDMUNDO DE CARVALHO","RUA TIBÉRIO, 145","Da 57ª à 66ª.","60ª; "
"AGUA BRANCA","250a. ZE - SÃO PAULO - LAPA","EE. RAUL CORTEZ","RUA SABAÚNA, S/N","Da 288ª à 289ª; 305ª; 324ª; 344ª; 373ª; 392ª; 400ª; 418ª; 427ª; 448ª; ","324ª; "
"AGUA BRANCA","2a. ZE - SÃO PAULO - PERDIZES","UNINOVE - UNIVERSIDADE NOVE DE JULHO","AV. FRANCISCO MATARAZZO, 364","Da 85ª à 94ª; 361ª; 439ª; 454ª; 467ª; 486ª; 498ª; 505ª; 517ª; 522ª; ","85ª; "
"ÁGUA FRIA","256a. ZE - SÃO PAULO - TUCURUVI","COLÉGIO OBJETIVO CANTAREIRA","AV. ÁGUA FRIA, 1913","320ª; 324ª; 359ª; 371ª; 393ª; 402ª; 421ª; 434ª; 442ª; 446ª; 448ª; ","324ª; 359ª; "
"ÁGUA FRIA","256a. ZE - SÃO PAULO - TUCURUVI","EE. EXPEDICIONÁRIO BRASILEIRO","RUA ALTINÓPOLIS, 501","Da 40ª à 53ª; 347ª; ","43ª; 44ª; "
"ÁGUA FRIA","249a. ZE - SÃO PAULO - SANTANA","EMEF PROF. ADOLPHO ÓTTO DE LAET","RUA ISIDÓRO DE LAET, 165","Da 139ª à 150ª; 610ª; ","610ª; "
