Tribunal Regional Eleitoral do Ceará;;;;;;;;;;;;
Seções no Estado do Ceará;;;;;;;;;;;;
Não contempla os locais/seções de voto em trânsito. Os quantitativos de eleitores abrangem os eleitores que saíram para votar em trânsito.;;;;;;;;;;;;
Dados sujeitos a alterações - atualizados em  28/10/2014 06:10:27;;;;;;;;;;;;
;;;;;;;;;;;;
Zona;Cod. Município;Município;Cod. Local;Local de Votação;Endereço;Bairro;CEP;Nº da Seção Principal;Qtd. Eleitores Principal;Nºs das Seções Agregadas;Qtd. Eleitores Agregadas;Total Eleitores
1;13897;FORTALEZA;1074;BNB CLUBE;AVENIDA  SANTOS DUMONT  3646;ALDEOTA;60150162;33;416; ;0;416
1;13897;FORTALEZA;1074;BNB CLUBE;AVENIDA  SANTOS DUMONT  3646;ALDEOTA;60150162;34;411; ;0;411
1;13897;FORTALEZA;1074;BNB CLUBE;AVENIDA  SANTOS DUMONT  3646;ALDEOTA;60150162;35;412; ;0;412
1;13897;FORTALEZA;1074;BNB CLUBE;AVENIDA  SANTOS DUMONT  3646;ALDEOTA;60150162;36;413; ;0;413
1;13897;FORTALEZA;1074;BNB CLUBE;AVENIDA  SANTOS DUMONT  3646;ALDEOTA;60150162;37;413; ;0;413
1;13897;FORTALEZA;1074;BNB CLUBE;AVENIDA  SANTOS DUMONT  3646;ALDEOTA;60150162;38;414; ;0;414
1;13897;FORTALEZA;1074;BNB CLUBE;AVENIDA  SANTOS DUMONT  3646;ALDEOTA;60150162;39;417; ;0;417
1;13897;FORTALEZA;1074;BNB CLUBE;AVENIDA  SANTOS DUMONT  3646;ALDEOTA;60150162;815;416; ;0;416
1;13897;FORTALEZA;1112;COLEGIO BATISTA SANTOS DUMONT;RUA DESEMBARGADOR LEITE ALBUQUERQUE 105;ALDEOTA;60150150;62;395; ;0;395
1;13897;FORTALEZA;1112;COLEGIO BATISTA SANTOS DUMONT;RUA DESEMBARGADOR LEITE ALBUQUERQUE 105;ALDEOTA;60150150;63;404; ;0;404
1;13897;FORTALEZA;1112;COLEGIO BATISTA SANTOS DUMONT;RUA DESEMBARGADOR LEITE ALBUQUERQUE 105;ALDEOTA;60150150;64;409; ;0;409
1;13897;FORTALEZA;1112;COLEGIO BATISTA SANTOS DUMONT;RUA DESEMBARGADOR LEITE ALBUQUERQUE 105;ALDEOTA;60150150;65;399; ;0;399
1;13897;FORTALEZA;1112;COLEGIO BATISTA SANTOS DUMONT;RUA DESEMBARGADOR LEITE ALBUQUERQUE 105;ALDEOTA;60150150;66;393; ;0;393
1;13897;FORTALEZA;1112;COLEGIO BATISTA SANTOS DUMONT;RUA DESEMBARGADOR LEITE ALBUQUERQUE 105;ALDEOTA;60150150;67;408; ;0;408
1;13897;FORTALEZA;1112;COLEGIO BATISTA SANTOS DUMONT;RUA DESEMBARGADOR LEITE ALBUQUERQUE 105;ALDEOTA;60150150;553;393; ;0;393
1;13897;FORTALEZA;1112;COLEGIO BATISTA SANTOS DUMONT;RUA DESEMBARGADOR LEITE ALBUQUERQUE 105;ALDEOTA;60150150;626;397; ;0;397
1;13897;FORTALEZA;1112;COLEGIO BATISTA SANTOS DUMONT;RUA DESEMBARGADOR LEITE ALBUQUERQUE 105;ALDEOTA;60150150;645;395; ;0;395
1;13897;FORTALEZA;1112;COLEGIO BATISTA SANTOS DUMONT;RUA DESEMBARGADOR LEITE ALBUQUERQUE 105;ALDEOTA;60150150;661;401; ;0;401
1;13897;FORTALEZA;1112;COLEGIO BATISTA SANTOS DUMONT;RUA DESEMBARGADOR LEITE ALBUQUERQUE 105;ALDEOTA;60150150;674;395; ;0;395
1;13897;FORTALEZA;1112;COLEGIO BATISTA SANTOS DUMONT;RUA DESEMBARGADOR LEITE ALBUQUERQUE 105;ALDEOTA;60150150;695;395; ;0;395
