"Nr Zona";"Cod Processual Res nº 65/CNJ";"Endereço";"CEP";"Bairro";"Município Sede";"UF";
"1";"02-0001";"AVENIDA FERNANDES LIMA, 3487";"57057000";"FAROL";"MACEIÓ";"AL"
"2";"02-0002";"AVENIDA FERNANDES LIMA, 3487";"57057000";"FAROL";"MACEIÓ";"AL"
"3";"02-0003";"AV FERNANDES LIMA, 3487";"57057900";"FAROL";"MACEIÓ";"AL"
"4";"02-0004";"RUA CORONEL COSTA NUNES, 346";"57660000";"CENTRO";"ANADIA";"AL"
"5";"02-0005";"RUA FREDERICO MAIA, S/N";"57700000";"CENTRO";"VIÇOSA";"AL"
"6";"02-0006";"AV PEDRO PEREIRA ACIOLI, SN";"57690000";"JOSE PAULINO";"ATALAIA";"AL"
"7";"02-0007";"RUA C, N. 167, CONJ. HABIT. RUBENS WANDERLEY, COM. TERCIO VANDERLEY";"57230000";"COMENDADOR TERCIO WANDERLEY";"CORURIPE";"AL"
"8";"02-0008";"PRAÇA MARECHAL FLORIANO PEIXOTO, 337";"57150000";"CENTRO";"PILAR";"AL"
"9";"02-0009";"RUA JOÃO LOPES FERREIRA, S/N - CENTRO";"57820000";"CENTRO";"MURICI";"AL"
"10";"02-0010";"PRAÇA FRANCISCO CAVALCANTE, 60";"57600050";"CENTRO";"PALMEIRA DOS ÍNDIOS";"AL"
"11";"02-0011";"AVENIDA FERREIRA DE NOVAES, 949";"57400000";"CENTRO";"PÃO DE AÇÚCAR";"AL"
"12";"02-0012";"RUA FRANCISCO PIMENTEL, 38";"57930000";"CENTRO";"PASSO DE CAMARAGIBE";"AL"
"13";"02-0013";"RODOVIA ENGENHEIRO JOAQUIM GONÇALVES, 502";"57200000";"SANTA LUZIA";"PENEDO";"AL"
"14";"02-0014";"RUA DO VARADOURO, 531";"57900000";"CENTRO";"PORTO CALVO";"AL"
"15";"02-0015";"AV. PRESIDENTE FERNANDO COLLOR DE MELO,48";"57100000";"TABULEIRO DO PINTO";"RIO LARGO";"AL"
"16";"02-0016";"PRACA OSMAN COSTA PINO S/N";"57860000";"CENTRO";"SÃO JOSÉ DA LAJE";"AL"
"17";"02-0017";"PRACA ERNESTO GOMES MARANHAO, 31";"57920000";"CENTRO";"SÃO LUÍS DO QUITUNDE";"AL"
"18";"02-0018";"RUA CEL FRANCISCO CAVALCANTE, 51";"57240000";"CENTRO";"SÃO MIGUEL DOS CAMPOS";"AL"
"19";"02-0019";"AV. PRESIDENTE DUTRA, N 385  BR 316";"57500000";"MONUMENTO";"SANTANA DO IPANEMA";"AL"
"20";"02-0020";"ISMAR DE GOES MONTEIRO S/N";"57370000";"CENTRO";"TRAIPU";"AL"
"21";"02-0021";"RUA MARECHAL DEODORO DA FONSECA, NUMERO 01";"57800000";"CENTRO";"UNIÃO DOS PALMARES";"AL"
"22";"02-0022";"RUA GERVÁSIO DE OLIVEIRA LIMA, 147";"57312630";"NOVO HORIZONTE";"ARAPIRACA";"AL"
"23";"02-0023";"AVENIDA HORACIO GOMES DE MELO, 620";"57780000";"CENTRO";"CAPELA";"AL"
"24";"02-0024";"FAZENDA RENASCER, BR 416, KM 09";"57975000";"CENTRO";"COLÔNIA LEOPOLDINA";"AL"
"25";"02-0025";"PRAÇA BATISTA ACIOLY 40";"57955000";"CENTRO";"MARAGOGI";"AL"
"26";"02-0026";"RUA CAPITÃO BERNARDINO SOUTO, 225";"57160000";"CENTRO";"MARECHAL DEODORO";"AL"
"27";"02-0027";"PRAÇA CEL JOSÉ MALTA DE SÁ, 14";"57540000";"CENTRO";"MATA GRANDE";"AL"
"28";"02-0028";"RUA 13 DE JUNHO, N 216";"57750000";"CENTRO";"QUEBRANGULO";"AL"
"29";"02-0029";"RUA 22 DE DEZEMBRO, 181";"57420000";"CENTRO";"BATALHA";"AL"
"30";"02-0030";"AV. DEZESSEIS DE MAIO S/N";"57280000";"CENTRO";"IGREJA NOVA";"AL"
"31";"02-0031";"R. PROFA. MARIA JOSÉ DE R. BARROS, SN - FÓRUM ELEITORAL";"57580000";"CENTRO";"MAJOR ISIDORO";"AL"
"32";"02-0032";"RUA CAMPO GRANDE, 60";"57460000";"XINGO";"PIRANHAS";"AL"
"33";"02-0033";"AVENIDA FERNANDES LIMA, 3487";"57057000";"FAROL";"MACEIÓ";"AL"
"34";"02-0034";"RUA PEDRO CAVALCANTE, N 458";"57265000";"CENTRO";"TEOTÔNIO VILELA";"AL"
"35";"02-0035";"RUA FLORIANO PEIXOTO, 417.";"57270000";"CENTRO";"JUNQUEIRO";"AL"
"36";"02-0036";"RUA CONEGO JACINTO 05";"57260000";"CENTRO";"LIMOEIRO DE ANADIA";"AL"
"37";"02-0037";"RUA BARÃO DO RIO BRANCO, 51, CENTRO";"57290000";"CENTRO";"PORTO REAL DO COLÉGIO";"AL"
"38";"02-0038";"AVENIDA ULISSES GUEDES, 268";"57210000";"BRASILIA";"PIAÇABUÇU";"AL"
"39";"02-0039";"RUA CÔNEGO NICODEMOS, 16";"57490000";"CENTRO";"ÁGUA BRANCA";"AL"
"40";"02-0040";"RUA OLAVO BILAC, 318";"57480000";"CENTRO";"DELMIRO GOUVEIA";"AL"
"41";"02-0041";"RUA BENEDITO MASCARENHAS N 44";"57130000";"CENTRO";"SANTA LUZIA DO NORTE";"AL"
"42";"02-0042";"AVENIDA 02 DE DEZEMBRO, N 574";"57442000";"CENTRO";"OLHO D'ÁGUA DAS FLORES";"AL"
"43";"02-0043";"RUA ANTONIO BOMFIM, S/N";"57670000";"CENTRO";"MARIBONDO";"AL"
"44";"02-0044";"AVENIDA PROGRESSO, N. 360.";"57360000";"PROGRESSO";"GIRAU DO PONCIANO";"AL"
"45";"02-0045";"RUA JURACY TENÓRIO CAVALCANTE, 53";"57620000";"CENTRO";"IGACI";"AL"
"46";"02-0046";"RUA CLARINDO AMORIM";"57570000";"CENTRO";"CACIMBINHAS";"AL"
"47";"02-0047";"AV JOÃO FERNANDES VIEIRA, 495";"57250000";"CENTRO";"CAMPO ALEGRE";"AL"
"48";"02-0048";"RUA LADISLAU COIMBRA, N. 177";"57680000";"CENTRO";"BOCA DA MATA";"AL"
"49";"02-0049";"RUA VEREADORA MARIA JOSÉ PEREIRA PACHECO, 01";"57275000";"CENTRO";"SÃO SEBASTIÃO";"AL"
"50";"02-0050";"RUA MANOEL MARTINS LEMOS ,120";"57520000";"CENTRO";"MARAVILHA";"AL"
"51";"02-0051";"AV. MANOEL MARCIANO, 418";"57445000";"CENTRO";"SÃO JOSÉ DA TAPERA";"AL"
"52";"02-0052";"PRAÇA BOM JESUS, 52";"57910000";"CENTRO";"MATRIZ DE CAMARAGIBE";"AL"
"53";"02-0053";"RUA CORONEL ALCANTARA S/N";"57995000";"CENTRO";"JOAQUIM GOMES";"AL"
"54";"02-0054";"AVENIDA FERNANDES LIMA, 3487";"57057000";"FAROL";"MACEIÓ";"AL"
"55";"02-0055";"RUA GERVASIO DE OLIVEIRA LIMA, N 147";"57312620";"NOVO HORIZONTE";"ARAPIRACA";"AL"
