"Nr Zona";"Cod Processual Res nº 65/CNJ";"Endereço";"CEP";"Bairro";"Município Sede";"UF";
"1";"03-0001";"RUA SENADOR LEMOS S/N";"68950000";"CENTRO";"AMAPÁ";"AP"
"2";"03-0002";"AV. MENDONCA JUNIOR, 1452";"68900000";"CENTRO";"MACAPÁ";"AP"
"3";"03-0003";"AVENIDA JOÃO ANASTÁCIO DOS SANTOS S/N";"68960000";"CEA";"CALÇOENE";"AP"
"4";"03-0004";"AV. BARAO DO RIO BRANCO, 151";"68980000";"CENTRO";"OIAPOQUE";"AP"
"5";"03-0005";"AV. INTENDENTE ALFREDO PINTO, S/N";"68940000";"UNIAO";"MAZAGÃO";"AP"
"6";"03-0006";"RUA D-13, QUADRA 17, S/N, LOTE 2";"68926166";"VILA AMAZONAS";"SANTANA";"AP"
"7";"03-0007";"AV. TANCREDO NEVES SN";"68920000";"AGRESTE";"LARANJAL DO JARI";"AP"
"8";"03-0008";"RUA NOSSA SENHORA DO PERPETUO SOCORRO,1660";"68990000";"CENTRO";"TARTARUGALZINHO";"AP"
"9";"03-0009";"RUA DUQUE DE CAXIAS, 451";"68915000";"CENTRO";"FERREIRA GOMES";"AP"
"10";"03-0010";"AV. MENDONÇA JÚNIOR, 1452";"68900020";"CENTRO";"MACAPÁ";"AP"
"11";"03-0011";"RUA A-3 N 605";"68948000";"VILA INTERMEDIARIA";"SERRA DO NAVIO";"AP"
"12";"03-0012";"AV. MANOEL BENTO PARENTE, 325";"68997000";"MALVINAS";"PORTO GRANDE";"AP"
"13";"03-0013";"AV. PEDRO LADISLAU, 1383";"68924000";"CIDADE LIVRE";"VITÓRIA DO JARI";"AP"
