"Nr Zona";"Cod Processual Res nº 65/CNJ";"Endereço";"CEP";"Bairro";"Município Sede";"UF";
"1";"08-0001";"RUA MUNIZ FREIRE, S/N - FÓRUM MUNIZ FREIRE - 3 ANDAR, CIDADE ALTA (CT)";"29015140";"CENTRO";"VITÓRIA";"ES"
"2";"08-0002";"AV FRANCISCO LACERDA DE AGUIAR, N. 221";"29303383";"GILBERTO MACHADO";"CACHOEIRO DE ITAPEMIRIM";"ES"
"3";"08-0003";"AV. NOSSA SENHORA DA PENHA, 790";"29360000";"CENTRO";"CASTELO";"ES"
"4";"08-0004";"AVENIDA OSCAR DE ALMEIDA GAMA, 263";"29500000";"CENTRO";"ALEGRE";"ES"
"5";"08-0005";"RUA GERVÁSIO MONTEIRO, 105, CENTRO";"29400000";"CENTRO";"MIMOSO DO SUL";"ES"
"6";"08-0006";"AVENIDA VITÓRIA, N.44";"29705115";"MARIA DAS GRAÇAS";"COLATINA";"ES"
"7";"08-0007";"RUA MADAME ALBERTINA HOLZ, 79";"29730000";"CENTRO";"BAIXO GUANDU";"ES"
"8";"08-0008";"RUA ANÁLIA VIEIRA DE SOUZA N 275";"29600000";"SÃO VICENTE";"AFONSO CLÁUDIO";"ES"
"9";"08-0009";"RUA MARECHAL FLORIANO PEIXOTO, S/N";"29640000";"CENTRO";"SANTA LEOPOLDINA";"ES"
"10";"08-0010";"RUA FRANCISCO VIEIRA DE REZENDE, 190";"29470000";"CENTRO";"IBATIBA";"ES"
"11";"08-0011";"AVENIDA JOSÉ RUSCHI, 37";"29650000";"CENTRO";"SANTA TERESA";"ES"
"12";"08-0012";"AV. LAURO FERREIRA PINTO, 575, CENTRO";"29240000";"CENTRO";"ALFREDO CHAVES";"ES"
"13";"08-0013";"RUA EMILIANA EMERY, N 41";"29560000";"CENTRO";"GUAÇUÍ";"ES"
"14";"08-0014";"RUA ARLINDO VICENTE, 221";"29670000";"ERICINA PAGIOLA";"IBIRAÇU";"ES"
"15";"08-0015";"RUA JOÃO BATISTA WERNERSBACH, 113";"29260000";"CENTRO (SEDE)";"DOMINGOS MARTINS";"ES"
"16";"08-0016";"AVENIDA 17 DE FEVEREIRO, N 240";"29690000";"CENTRO";"ITAGUAÇU";"ES"
"17";"08-0017";"AV.CARLOS LINDEMBERG, S/N, GALERIA ORLA";"29230000";"CENTRO";"ANCHIETA";"ES"
"18";"08-0018";"AVENIDA DEPUTADO JOÃO RIOS, 372 (AO LADO DA AUTOESCOLA IUNA)";"29390000";"CENTRO";"IÚNA";"ES"
"19";"08-0019";"RUA FENIANO MITLEG, 36";"29380000";"CENTRO";"MUNIZ FREIRE";"ES"
"20";"08-0020";"RUA ESAURA SFALSIN ROSA, 15, ESQUINA COM AVENIDA CASTELO BRANCO";"29193084";"JEQUITIBÁ";"ARACRUZ";"ES"
"21";"08-0021";"RUA CORONEL CONSTANTINO CUNHA, 1262";"29933530";"FÁTIMA ( IDEAL)";"SÃO MATEUS";"ES"
"22";"08-0022";"RUA MELQUIADES FÉLIX DE SOUZA, 150, SERRAMAR";"29330000";"CENTRO";"ITAPEMIRIM";"ES"
"23";"08-0023";"RUA DEOLINDO DAZÍLIO, 03";"29800000";"CENTRO";"BARRA DE SÃO FRANCISCO";"ES"
"24";"08-0024";"RUA SANTANA DO IAPÓ, N 330";"29215020";"MUQUIÇABA";"GUARAPARI";"ES"
"25";"08-0025";"AVENIDA ARACRUZ, 810 (ESQUINA COM AVENIDA RUI BARBOSA)";"29900399";"COLINA";"LINHARES";"ES"
"26";"08-0026";"RUA DOMINGOS MARTINS N. 87";"29176055";"CENTRO";"SERRA";"ES"
"27";"08-0027";"AV JONES DOS SANTOS NEVES, 264, CENTRO, AO LADO DO BANCO DO BRASIL";"29960000";"CENTRO";"CONCEIÇÃO DA BARRA";"ES"
"28";"08-0028";"AV. ARACRUZ, 810 (ESQUINA COM AV. RUI BARBOSA)";"29900399";"COLINA";"LINHARES";"ES"
"29";"08-0029";"RUA FLORIANO RUBIM S/N";"29770000";"CENTRO";"MANTENÓPOLIS";"ES"
"30";"08-0030";"RUA EURICO SALLES, N. 230";"29830000";"CENTRO";"NOVA VENÉCIA";"ES"
"31";"08-0031";"RUA SÓSTENES FERREIRA DA SILVA, N. 88";"29880000";"CENTRO";"MUCURICI";"ES"
"32";"08-0032";"RUA XV DE NOVEMBRO, 288";"29101055";"PRAIA DA COSTA";"VILA VELHA";"ES"
"33";"08-0033";"RUA OTÍLIA DA COSTA, 49";"29850000";"CENTRO";"ECOPORANGA";"ES"
"34";"08-0034";"AV. GETÚLIO VARGAS, 107, CAMPO GRANDE, CARIACICA/ES";"29146070";"CAMPO GRANDE";"CARIACICA";"ES"
"35";"08-0035";"AV DANILO MONTEIRO DE CASTRO, 206";"29280000";"CENTRO";"ICONHA";"ES"
"36";"08-0036";"R. JOVINO NONATO DA CUNHA, LOJA 2";"29750000";"CENTRO";"PANCAS";"ES"
"37";"08-0037";"AV. LIONS CLUB, 252";"29780000";"CENTRO";"SÃO GABRIEL DA PALHA";"ES"
"38";"08-0038";"AV. ANTÔNIO PAULINO, 470 - CASA";"29890000";"CENTRO";"MONTANHA";"ES"
"39";"08-0039";"R. MATIAS BARBOSA DOS SANTOS, 187";"29980000";"CENTRO";"PINHEIROS";"ES"
"40";"08-0040";"RUA GREGÓRIO ZANDONADE, 15";"29375000";"MARMIM";"VENDA NOVA DO IMIGRANTE";"ES"
"41";"08-0041";"RUA CORONEL CONSTANTINO CUNHA 1262";"29933530";"FÁTIMA ( IDEAL)";"SÃO MATEUS";"ES"
"42";"08-0042";"AV. VITÓRIA, 44";"29290000";"MARIA DAS GRAÇAS";"COLATINA";"ES"
"43";"08-0043";"AV. SIMÃO SOARES, N 1.220, BAIRRO AREIAS NEGRAS";"29345000";"CENTRO";"MARATAÍZES";"ES"
"44";"08-0044";"RUA CARLOS XAVIER, N. 527";"29460000";"CENTRO";"BOM JESUS DO NORTE";"ES"
"45";"08-0045";"AV. FIRMINO DIAS, 222";"29580000";"CENTRO";"DORES DO RIO PRETO";"ES"
"46";"08-0046";"AV. JOÃO QUIUQUI,444";"29000000";"CENTRO";"ÁGUIA BRANCA";"ES"
"47";"08-0047";"RUA ASPÁZIA DIAS VAREJÃO, 222, LT 28, QD G";"29130013";"VIANA SEDE";"VIANA";"ES"
"48";"08-0048";"AV. FRANCISCO LACERDA DE AGUIAR, 59";"29303383";"GILBERTO MACHADO";"CACHOEIRO DE ITAPEMIRIM";"ES"
"49";"08-0049";"RUA ÁTILA VIVÁCQUA VIEIRA, 148";"29350000";"CENTRO";"PRESIDENTE KENNEDY";"ES"
"50";"08-0050";"AV. AMÁLIA NEGREIRO DE CASTRO, 275";"29970000";"CENTRO";"PEDRO CANÁRIO";"ES"
"51";"08-0051";"RUA JOÃO CIPRIANO, 409, LJ 02";"29920000";"SÃO SEBASTIÃO";"RIO BANANAL";"ES"
"52";"08-0052";"RUA VITÓRIO NUNES DA MOTTA, 95, CENTRO EMPRES. DA PRAIA, VITÓRIA/ES";"29050480";"ENSEADA DO SUÁ";"VITÓRIA";"ES"
"53";"08-0053";"AVENIDA DES. MÁRIO DA SILVA NUNES, 1420, LOJA 2";"29164044";"JARDIM LIMOEIRO";"SERRA";"ES"
"54";"08-0054";"AV. JOSÉ SETTE, S/N, ITACIBÁ - ATENDIMENTO AO PÚBLICO 11H ÀS 18H";"29150410";"ITACIBÁ";"CARIACICA";"ES"
"55";"08-0055";"RUA CORONEL SODRÉ, 512";"29100080";"CENTRO";"VILA VELHA";"ES"
"56";"08-0056";"AV JOSÉ MARIA V. SANTOS, 600(ROD. NORTE SUL - AO LADO GRAFITUSA)";"29090160";"JARDIM CAMBURI";"VITÓRIA";"ES"
"57";"08-0057";"AVENIDA NOSSA SENHORA DA PENHA, 230";"29108330";"IBES";"VILA VELHA";"ES"
"58";"08-0058";"R. SÃO JOÃO BATISTA, 1000 - FÓRUM DE CARIACICA";"29151230";"ALTO LAGE";"CARIACICA";"ES"
"59";"08-0059";"AVENIDA ABDO SAAD, N 1296, LOJAS 08, 09 E 10, JACARAÍPE, SERRA-ES";"29173510";"JACARAÍPE";"SERRA";"ES"
