"Nr Zona";"Cod Processual Res nº 65/CNJ";"Endereço";"CEP";"Bairro";"Município Sede";"UF";
"1";"09-0001";"AV. MUTIRÃO N. 2313, QD L-28, LT 08/09";"74150340";"SETOR MARISTA";"GOIÂNIA";"GO"
"2";"09-0002";"AV. MUTIRÃO N 2313 QD.28 LT 8 E 9";"74150340";"SETOR MARISTA";"GOIÂNIA";"GO"
"3";"09-0003";"RUA AUGUSTO DE LIMA, QUADRA 06 LOTE 03";"75080850";"RESIDENCIAL VIRGINIA CORREA";"ANÁPOLIS";"GO"
"4";"09-0004";"CONJUNTO 11 HC, RUA 11, ÁREA ESPECIAL, EDIFÍCIO DO FÓRUM";"72860209";"NOVO GAMA";"NOVO GAMA";"GO"
"5";"09-0005";"RUA ADELINO RIBEIRO VASCONCELOS, Q. 01, LT. 07";"75660000";"SETOR PARREIRA";"BURITI ALEGRE";"GO"
"6";"09-0006";"AV. MANOEL DIAS MARQUES, QUADRA 62, LOTE 27, FÓRUM";"75850000";"SETOR NOVA CAIAPONIA";"CAIAPÔNIA";"GO"
"7";"09-0007";"AV. TIRADENTES, ESQ. COM RUA B-1";"75690000";"ITANHANGA I";"CALDAS NOVAS";"GO"
"8";"09-0008";"RUA 506, N. 300, QUADRA 08, LOTES 3/4/5";"75706450";"SANTA CRUZ";"CATALÃO";"GO"
"9";"09-0009";"RUA NOSSA SENHORA DA PENHA QD.01 LT.01/09, FÓRUM";"72960000";"BELA VISTA";"CORUMBÁ DE GOIÁS";"GO"
"10";"09-0010";"ED. DO FORUM, RUA CUMARI";"75680000";"SETOR BOA VISTA";"CORUMBAÍBA";"GO"
"11";"09-0011";"RUA ROSALVO OLÍMPIO COSTA, SN, AO LADO DO FÓRUM";"73814085";"PARQUE LAGUNA II";"FORMOSA";"GO"
"12";"09-0012";"RUA A QD 19 LT 02 ST AEROPORTO";"76600000";"AEROPORTO";"GOIÁS";"GO"
"13";"09-0013";"PRAÇA SANTANA, N. 420";"75400000";"CENTRO";"INHUMAS";"GO"
"14";"09-0014";"RUA CORONEL JOÃO VAZ, 04";"75780000";"CENTRO";"IPAMERI";"GO"
"15";"09-0015";"PRACA SINHO FONSECA";"76630000";"CENTRO";"ITABERAÍ";"GO"
"16";"09-0016";"AV. JOÃO PAULO II N. 300";"75503970";"DOM BOSCO";"ITUMBIARA";"GO"
"17";"09-0017";"AVENIDA ANA MUNDIM DE FREITAS, QD. 71, LT. 17, N16, AEROPORTO";"76330000";"JARDIM AEROPORTO";"JARAGUÁ";"GO"
"18";"09-0018";"RUA DO HIPODROMO ESQ. COM ELIONOR FRANÇA N. 590";"75803018";"CONDOMINIO BARCELONA";"JATAÍ";"GO"
