"Nr Zona";"Cod Processual Res nº 65/CNJ";"Endereço";"CEP";"Bairro";"Município Sede";"UF";
"1";"10-0001";"AVENIDA SENADOR VITORINO FREIRE, S/N";"65010650";"MADRE DEUS - ZONA URBANA";"SÃO LUÍS";"MA"
"2";"10-0002";"AVENIDA SENADOR VITORINO FREIRE S/N";"65010650";"MADRE DEUS - ZONA URBANA";"SÃO LUÍS";"MA"
"3";"10-0003";"AV. VITORINO FREIRE,S/N";"65010650";"MADRE DEUS - ZONA URBANA";"SÃO LUÍS";"MA"
"4";"10-0004";"AVENIDA NORTE-SUL, LOTE 1, CIDADE JUDICIÁRIA - CAMPO DE BELEM";"65609005";"CAMPO DE BELEM-ZONA URBANA";"CAXIAS";"MA"
"5";"10-0005";"AVENIDA NORTE - SUL, LOTE 1";"65000000";"CAMPO DE BELEM-ZONA URBANA";"CAXIAS";"MA"
"6";"10-0006";"AVENIDA NORTE SUL, LOTE 1, CIDADE JUDICIÁRIA, BAIRRO CAMPO DE BELÉM";"65609005";"CENTRO";"CAXIAS";"MA"
"7";"10-0007";"RUA CONEGO MENDONCA, 366";"65400000";"CENTRO - ZONA URBANA";"CODÓ";"MA"
"8";"10-0008";"FORUM DES. CAETANO MARTINS JORGE - RUA DA SALVAÇÃO, S/N";"65415000";"CENTRO - ZONA URBANA";"COROATÁ";"MA"
"9";"10-0009";"RUA DAS LARANJEIRAS, N 1477, GOIABAL";"65725000";"GOIABAL";"PEDREIRAS";"MA"
"10";"10-0010";"AVENIDA VITORINO FREIRE, S/N";"65025015";"MADRE DEUS - ZONA URBANA";"SÃO LUÍS";"MA"
"11";"10-0011";"TRAVESSA VEREADOR CARLOS LUSTOSA, NR 330";"65810000";"SANTA CRUZ - ZONA URBANA";"ALTO PARNAÍBA";"MA"
"12";"10-0012";"RUA 7 DE SETEMBRO S/N";"65570000";"CENTRO - ZONA URBANA";"ARAIOSES";"MA"
"13";"10-0013";"AVENIDA BARÃO DE CAPANEMA, 65";"65700000";"CENTRO - ZONA URBANA";"BACABAL";"MA"
"14";"10-0014";"RUA CÉSAR RONALDO, 70 - CENTRO";"65268000";"CENTRO - ZONA URBANA";"CURURUPU";"MA"
"15";"10-0015";"FÓRUM ELEITORAL JUIZ ANTONIO EDUARDO OLIVEIRA NAVA RODOVIA BR 226, S/N";"65940000";"TREZIDELA - ZONA URBANA";"GRAJAÚ";"MA"
"16";"10-0016";"RUA PROF. LEONEL AMORIM, S/N";"65485000";"CENTRO - ZONA URBANA";"ITAPECURU MIRIM";"MA"
"17";"10-0017";"AVENIDA DOMINGOS SERTÃO, S/N,";"65870000";"SÃO JOSÉ ZONA URBANA";"PASTOS BONS";"MA"
"18";"10-0018";"RUA SENADOR URBANOS SANTOS, S/N";"65150000";"CENTRO-ZONA URBANA";"ROSÁRIO";"MA"
