"Nr Zona";"Cod Processual Res nº 65/CNJ";"Endereço";"CEP";"Bairro";"Município Sede";"UF";
"1";"13-0001";"AVENIDA SIMÃO DA CUNHA, 295";"35620000";"CENTRO";"ABAETÉ";"MG"
"2";"13-0002";"RUA DR. OLINTO DE ABREU, 129";"35365000";"CENTRO";"ABRE CAMPO";"MG"
"3";"13-0003";"RUA CONCESSO BARBOSA, 07, CENTRO";"35150000";"CENTRO";"AÇUCENA";"MG"
"4";"13-0004";"AVENIDA BIAS FORTES, 06 A";"39880000";"CENTRO";"ÁGUAS FORMOSAS";"MG"
"5";"13-0005";"AV. RAUL SOARES, 456";"35200000";"CENTRO";"AIMORÉS";"MG"
"6";"13-0006";"RUA CORONEL OSWALD, 108";"37450000";"CENTRO";"AIURUOCA";"MG"
"7";"13-0007";"RUA ARISTÓTELES LOBO, N 75";"36660000";"SAO JOSE";"ALÉM PARAÍBA";"MG"
"8";"13-0008";"AVENIDA AFONSO PENA, 448";"37130000";"CENTRO";"ALFENAS";"MG"
"9";"13-0009";"RUA ARGEMIRO AGUILAR, 425, CENTRO";"39900000";"CENTRO";"ALMENARA";"MG"
"10";"13-0010";"PRACA JOSE CARVALHO FARIA, 144";"37940000";"ROSÁRIO";"ALPINÓPOLIS";"MG"
"11";"13-0011";"PCA. DR. MIGUEL BATISTA VIEIRA, S/N";"36260000";"CENTRO";"ALTO RIO DOCE";"MG"
"12";"13-0012";"RUA MONSENHOR BICALHO, S/N";"35950000";"CENTRO";"ALVINÓPOLIS";"MG"
"13";"13-0013";"RUA OTÁVIO TEIXEIRA BARBOSA, 51 - CENTRO";"37795000";"CENTRO";"ANDRADAS";"MG"
"14";"13-0014";"PRAÇA MANOEL TEODORO, 41";"37300000";"ROSÁRIO";"ANDRELÂNDIA";"MG"
"15";"13-0015";"RUA MONTES CLAROS, 268";"39600000";"SANTA TEREZA";"ARAÇUAÍ";"MG"
"16";"13-0016";"RUA DR. AFRÂNIO / N. 124";"38440072";"CENTRO";"ARAGUARI";"MG"
"17";"13-0017";"RUA PADRE ALAOR, 109";"38184018";"CENTRO";"ARAXÁ";"MG"
"18";"13-0018";"RUA VEREADOR JOÃO VELOSO, 115";"35588000";"CENTRO";"ARCOS";"MG"
"19";"13-0019";"RUA JOÃO DUARTE, 106";"37140000";"CENTRO";"AREADO";"MG"
"20";"13-0020";"PRAÇA DR. RAUL SA, 63";"37443000";"CENTRO";"BAEPENDI";"MG"
"21";"13-0021";"AVENIDA ARMANDO FRANCO, 186 - SALAS/36, 38 E 40";"38900000";"CENTRO";"BAMBUÍ";"MG"
"22";"13-0022";"RUA PADRE CRUZ, ESQUINA COM RUA WALDIR SOEIRO HENRICH, N. 169";"35970000";"VIÚVA";"BARÃO DE COCAIS";"MG"
"23";"13-0023";"AVENIDA DOUTOR JAYME DO RÊGO MACEDO, 41 - 1 ANDAR";"36200032";"CENTRO";"BARBACENA";"MG"
"24";"13-0024";"AVENIDA DR JAIME DO REGO MACEDO, 41  - 2 ANDAR";"36200032";"CENTRO";"BARBACENA";"MG"
"25";"13-0025";"AV. DR. JAIME DO REGO MACEDO, 41/ 3 ANDAR";"36200032";"CENTRO";"BARBACENA";"MG"
"26";"13-0026";"AVENIDA DO CONTORNO, 7038 - 4 ANDAR";"30110048";"LOURDES";"BELO HORIZONTE";"MG"
