"Nr Zona";"Cod Processual Res nº 65/CNJ";"Endereço";"CEP";"Bairro";"Município Sede";"UF";
"1";"12-0001";"RUA ANTÔNIO MARTINS DUTRA, N. 1521";"79990000";"CENTRO";"AMAMBAI";"MS"
"2";"12-0002";"AV. IGUATEMI, 159";"79950000";"CENTRO";"NAVIRAÍ";"MS"
"3";"12-0003";"RUA ANTÔNIO PAULINO 445";"79540000";"CENTRO";"CASSILÂNDIA";"MS"
"4";"12-0004";"RUA IPIRANGA, N. 841";"79700000";"JARDIM PRIMAVERA";"FÁTIMA DO SUL";"MS"
"5";"12-0005";"RUA WALTER HUBACHER, 1220";"79750000";"CENTRO";"NOVA ANDRADINA";"MS"
"6";"12-0006";"RUA ODORILHO FERREIRA, 248";"79780000";"CENTRO";"BATAGUASSU";"MS"
"7";"12-0007";"RUA DUQUE DE CAXIAS, 45";"79320060";"NOSSA SENHORA DE FÁTIMA";"CORUMBÁ";"MS"
"8";"12-0008";"RUA DELEGADO JOSÉ ALFREDO HARDMAN, 180";"79037106";"PARQUE DOS PODERES";"CAMPO GRANDE";"MS"
"9";"12-0009";"RUA ALFREDO JUSTINO, 1100";"79603000";"BAIRRO CENTRO";"TRÊS LAGOAS";"MS"
"10";"12-0010";"RUA NILZA FERRAZ RIBEIRO, N. 400";"79200000";"CIDADE NOVA";"AQUIDAUANA";"MS"
"11";"12-0011";"RUA RIO BRILHANTE N 1114";"79130000";"VILA MARIA";"RIO BRILHANTE";"MS"
"12";"12-0012";"RUA GENERAL MENDES DE MORAES, N. 86";"79400000";"JARDIM AEROPORTO";"COXIM";"MS"
"13";"12-0013";"RUA JOSÉ ROBALINHO DA SILVA, 235";"79500000";"JARDIM SANTA MÔNICA";"PARANAÍBA";"MS"
"14";"12-0014";"RUA JOÃO DA MOTA, 461";"79420000";"VILA DIAMANTINA";"CAMAPUÃ";"MS"
"15";"12-0015";"RUA 7 DE SETEMBRO, 861";"79380000";"CENTRO";"MIRANDA";"MS"
"16";"12-0016";"RUA APPA ,101";"79150000";"CENTRO";"MARACAJU";"MS"
"17";"12-0017";"RUA SÃO GERALDO, 65";"79260000";"CENTRO";"BELA VISTA";"MS"
"18";"12-0018";"R. MONTESE, 435";"79814540";"JARDIM LONDRINA";"DOURADOS";"MS"
"19";"12-0019";"RUA BALTAZAR SALDANHA, 1591";"79904204";"DA SAUDADE";"PONTA PORÃ";"MS"
"20";"12-0020";"RUA CORONEL PONCE, 439";"79280000";"CENTRO";"PORTO MURTINHO";"MS"
"21";"12-0021";"AVENIDA DOM PEDRO II, 221";"79480000";"CENTRO";"RIO VERDE DE MATO GROSSO";"MS"
"22";"12-0022";"RUA AMAZONAS, N. 214";"79240000";"BAIRRO ANGÉLICA";"JARDIM";"MS"
"23";"12-0023";"AVENIDA JÚLIO MAIA N 1174, SALA 04";"79680000";"CENTRO";"ÁGUA CLARA";"MS"
"24";"12-0024";"RUA MATO GROSSO DO SUL, 3881";"79570000";"JARDIM BRANDINI II";"APARECIDA DO TABOADO";"MS"
"25";"12-0025";"AV. LAUDELINO PEIXOTO,  1.229";"79960000";"CENTRO";"IGUATEMI";"MS"
"26";"12-0026";"AVENIDA DA SAUDADE, 1048";"79415000";"CENTRO";"SONORA";"MS"
"27";"12-0027";"RUA FRANCISCO PIERETTI, 211";"79740000";"GUIRAY";"IVINHEMA";"MS"
"28";"12-0028";"RUA 15 DE NOVEMBRO, N. 215 - CENTRO";"79940000";"CENTRO";"CAARAPÓ";"MS"
