"Nr Zona";"Cod Processual Res nº 65/CNJ";"Endereço";"CEP";"Bairro";"Município Sede";"UF";
"1";"11-0001";"AV. RUBENS DE MENDONÇA, N. 4750, CASA DA DEMOCRACIA";"78050000";"BOSQUE DA SAÚDE";"CUIABÁ";"MT"
"2";"11-0002";"RUA FERNANDO CORREA DA COSTA, 253";"78700100";"CENTRO";"RONDONÓPOLIS";"MT"
"3";"11-0003";"RUA DR. MURTINHO, 585";"78470000";"CENTRO";"ROSÁRIO OESTE";"MT"
"4";"11-0004";"RUA CAMPOS SALES, N 17";"78175000";"CENTRO";"POCONÉ";"MT"
"5";"11-0005";"RUA DOS FLAMBOYANTS, 220-N";"78450000";"CENTRO";"NOVA MUTUM";"MT"
"6";"11-0006";"RUA MARECHAL DEODORO 720";"78200000";"CENTRO";"CÁCERES";"MT"
"7";"11-0007";"RUA BENEDITO MOREIRA DA SILVA - QD 02 - N. 230";"78400000";"CENTRO";"DIAMANTINO";"MT"
"8";"11-0008";"RUA ONILDO TAVEIRA, 143, EDIFÍCIO DO FÓRUM";"78780000";"SETOR RODOVIARIO";"ALTO ARAGUAIA";"MT"
"9";"11-0009";"RUA JOSÉ NÓBREGA DA SILVA, S/N., SETOR SENA MARQUES";"78600000";"SENA MARQUES";"BARRA DO GARÇAS";"MT"
"10";"11-0010";"RUA FERNANDO CORREA DA COSTA, 253";"78700100";"CENTRO";"RONDONÓPOLIS";"MT"
"11";"11-0011";"RUA 15 DE NOVEMBRO, 645";"78325000";"CIDADE ALTA";"ARIPUANÃ";"MT"
"12";"11-0012";"RUA JOÃO PESSOA, N. 1702, SALA 02, ED. FERRARI";"78840000";"CAMPO REAL";"CAMPO VERDE";"MT"
"13";"11-0013";"RUA SÃO BENEDITO, 800 A/B";"78390000";"CENTRO";"BARRA DO BUGRES";"MT"
"14";"11-0014";"RUA JURUCÊ, 990";"78820000";"CENTRO";"JACIARA";"MT"
"15";"11-0015";"AVENIDA DOM PEDRO CASALDÁLIGA, 791";"78670000";"VILA SANTO ANTÔNIO";"SÃO FÉLIX DO ARAGUAIA";"MT"
"16";"11-0016";"AV. PERIMETRAL SUL ESQUINA C/ RUA 21 DE ABRIL, N 266";"78645000";"SETOR SUL";"VILA RICA";"MT"
"17";"11-0017";"RUA PRESIDENTE COSTA E SILVA, 410";"78420000";"VILA NOVA";"ARENÁPOLIS";"MT"
"18";"11-0018";"RUA GERMANO GREVE, N 284";"78280000";"CENTRO";"MIRASSOL D'OESTE";"MT"
"19";"11-0019";"AV. ISMAEL JOSÉ DO NASCIMENTO, N.1961-W";"78300000";"JARDIM TANGARA II";"TANGARÁ DA SERRA";"MT"
"20";"11-0020";"AV. COUTO MAGALHÃES, 744";"78110400";"CENTRO";"VÁRZEA GRANDE";"MT"
"21";"11-0021";"RUA PARANAPANEMA, 1818-S,";"78455000";"JARDIM DAS PALMEIRAS";"LUCAS DO RIO VERDE";"MT"
"22";"11-0022";"RUA DAS GREVILEAS, 442";"78550112";"SETOR COMERCIAL SUL";"SINOP";"MT"
"23";"11-0023";"AV. TANCREDO NEVES, NR. 471, CENTRO";"78500000";"CENTRO";"COLÍDER";"MT"
"24";"11-0024";"AV. LUDOVICO DA RIVA NETO, N. 3.294";"78580000";"CENTRO";"ALTA FLORESTA";"MT"
"25";"11-0025";"AVENIDA MINAS GERAIS, 1359, ED. ANTHONNY, SALAS 01 E 02 - CHÁCARA 2B";"78250000";"CENTRO";"PONTES E LACERDA";"MT"
"26";"11-0026";"AV. COUTO MAGALHÃES, N. 271";"78690000";"CENTRO";"NOVA XAVANTINA";"MT"
"27";"11-0027";"RUA RONDONÓPOLIS, 76W";"78575000";"JARDIM BOA VISTA";"JUARA";"MT"
"28";"11-0028";"RUA TOCANTINS N 775";"78655000";"CENTRO";"PORTO ALEGRE DO NORTE";"MT"
