"Nr Zona";"Cod Processual Res nº 65/CNJ";"Endereço";"CEP";"Bairro";"Município Sede";"UF";
"1";"16-0001";"TRAVESSA PIRAJÁ, S/N- 8H AS 13H";"66087490";"PEDREIRA";"BELÉM";"PA"
"2";"16-0002";"PRAÇA DA MATRIZ, S/N (FÓRUM), 8H AS 13H";"68840000";"CENTRO";"CACHOEIRA DO ARARI";"PA"
"3";"16-0003";"6 RUA TRAV. 13 E 14 S/N - ATENDIMENTO 8H ÀS 13H";"68870000";"CENTRO";"SOURE";"PA"
"4";"16-0004";"RUA GILBERTO MENEZES, 35 - 8H ÀS 13H";"68740000";"CRISTO REDENTOR";"CASTANHAL";"PA"
"5";"16-0005";"AV. MAGALHÃES BARATA, 2110";"68725000";"CENTRO";"IGARAPÉ-AÇU";"PA"
"6";"16-0006";"RUA DEP. GRACIANO ALMEIDA, N. 10, BAIXA VERDE";"68430000";"CENTRO";"IGARAPÉ-MIRI";"PA"
"7";"16-0007";"RUA SETE DE SETEMBRO, S/N - 8H ÀS 13H";"68440000";"SÃO LOURENÇO";"ABAETETUBA";"PA"
"8";"16-0008";"AVENIDA MAGALHÃES BARATA S/N, VILA NOVA.";"68780000";"CENTRO";"VIGIA";"PA"
"9";"16-0009";"RUA BENEDITO DE OLIVEIRA, ESQ. RUA GONÇALO FERREIRA - 8H AS 13H";"68750000";"CENTRO";"CURUÇÁ";"PA"
"10";"16-0010";"RUA CEL MANOEL IZIDRO DA SILVA, S/N - 8H AS 15H";"68825000";"CENTRO";"MUANÁ";"PA"
"11";"16-0011";"RUA PADRE SÁTIRO, 231";"68660000";"SÃO MANOEL";"SÃO MIGUEL DO GUAMÁ";"PA"
"12";"16-0012";"TRAV. DOM ROMUALDO DE SEIXAS, 513";"68400000";"CENTRAL";"CAMETÁ";"PA"
"13";"16-0013";"RUA DOM PEDRO II, 300";"68600000";"CEREJA";"BRAGANÇA";"PA"
"14";"16-0014";"AV. DR. JUSTO CHERMONT, 499, S/N - CENTRO";"68620000";"CENTRO";"VISEU";"PA"
"15";"16-0015";"AV. RIO BRANCO, 439 - 8H ÀS 13H";"68800000";"CENTRO";"BREVES";"PA"
"16";"16-0016";"PRAÇA ALBERTINO BARAUNA, S/N, 8HAS 14H";"68890000";"CENTRO";"AFUÁ";"PA"
"17";"16-0017";"AV. INDEPENDÊNCIA, 550 - 8H ÀS 15H";"68880000";"CENTRO";"CHAVES";"PA"
"18";"16-0018";"RUA CORONEL JOSÉ PORFÍRIO, 2008, ESQ. COM TRAV. AGRÁRIO CAVALCANTE";"68371030";"RECREIO";"ALTAMIRA";"PA"
"19";"16-0019";"RUA RAIMUNDO JOSÉ DA COSTA, S/N";"68220000";"SERRA ORIENTAL";"MONTE ALEGRE";"PA"
"20";"16-0020";"AVENIDA MENDONÇA FURTADO, 2039 -  DAS 8 ÀS 13H";"68005100";"SANTA CLARA";"SANTARÉM";"PA"
"21";"16-0021";"RUA VISCONDE DO RIO BRANCO, S/N";"68200000";"CENTRO";"ALENQUER";"PA"
"22";"16-0022";"AVENIDA DOM FLORIANO, 348, (ATENDIMENTO, 08H ÀS 13H)";"68250000";"CENTRO";"ÓBIDOS";"PA"
"23";"16-0023";"AV. VP-03, FOLHA 16, QUADRA 36, LOTE 10.";"68508970";"NOVA MARABÁ";"MARABÁ";"PA"
"24";"16-0024";"RUA DOM SEBASTIÃO THOMAZ, 2994";"68540000";"CENTRO";"CONCEIÇÃO DO ARAGUAIA";"PA"
"25";"16-0025";"TRAVESSA RUI BARBOSA, 171";"68700000";"CENTRO";"CAPANEMA";"PA"
"26";"16-0026";"AVENIDA SANTO ANTONIO, 1290";"68300000";"CENTRO";"GURUPÁ";"PA"
"27";"16-0027";"RODOVIA MANGABEIRA - KM 01 -  HORÁRIO 8H ÀS 13H";"68830000";"ESTRADA";"PONTA DE PEDRAS";"PA"
"28";"16-0028";"TRAVESSA PIRAJÁ, S/N - 8H AS 13H";"66087490";"PEDREIRA";"BELÉM";"PA"
"29";"16-0029";"TRAVESSA PIRAJÁ, S/N - 8H AS 13H";"66087490";"PEDREIRA";"BELÉM";"PA"
"30";"16-0030";"TRAV. ITABORAÍ, 46 CRUZEIRO ICOARACI";"66810030";"ICOARACI";"BELÉM";"PA"
"31";"16-0031";"RUA CANTÍDIO GUIMARÃES, S/N";"68710000";"CENTRO";"MARACANÃ";"PA"
"32";"16-0032";"RODOVIA PA-318, KM 20, S/N, AO LADO DO ESTÁDIO MUNICIPAL";"68760000";"SANTO ANTÔNIO DO ABACATE";"MARAPANIM";"PA"
"33";"16-0033";"TV ASSIS DE VASCONCELOS, N 1838, 8H AS 13 H";"68730000";"CENTRO";"NOVA TIMBOTEUA";"PA"
"34";"16-0034";"PASSAGEM CLODSON BORGES DO VALE, N. 15";"68182320";"N S PERPETUO SOCORRO";"ITAITUBA";"PA"
"35";"16-0035";"AV. LEVINDO ROCHA, NUMERO 136, 8H AS 13H";"68465000";"CENTRO";"BAIÃO";"PA"
"36";"16-0036";"RUA BARÃO DO RIO BRANCO, 1309";"68790000";"CENTRO";"SANTA ISABEL DO PARÁ";"PA"
"37";"16-0037";"PRAÇA DO ESTUDANTE, S/N - DE 08H ÀS 13H";"68450000";"CENTRO";"MOJU";"PA"
