"Nr Zona";"Cod Processual Res nº 65/CNJ";"Endereço";"CEP";"Bairro";"Município Sede";"UF";
"1";"15-0001";"RUA ODON BEZERRA, 309";"58020500";"TAMBIÁ";"JOÃO PESSOA";"PB"
"2";"15-0002";"RUA MARIA DE LOURDES SEREJO, S/N";"58300660";"ALTO DOS EUCALIPTOS";"SANTA RITA";"PB"
"3";"15-0003";"RUA CESÁR CARTAXO,117";"58337000";"CENTRO";"CRUZ DO ESPÍRITO SANTO";"PB"
"4";"15-0004";"RUA PADRE ZEFERINO MARIA, S/N, CENTRO";"58340000";"CENTRO";"SAPÉ";"PB"
"5";"15-0005";"PRAÇA 31 DE MARÇO, S/N (FORUM)";"58338000";"CENTRO";"PILAR";"PB"
"6";"15-0006";"PRAÇA EPITACIO PESSOA, 02, CENTRO";"58360000";"CENTRO";"ITABAIANA";"PB"
"7";"15-0007";"RUA  PRESIDENTE KENNEDY, S/N - BR 101";"58280000";"CENTRO";"MAMANGUAPE";"PB"
"8";"15-0008";"RUA PREFEITO FRANCISCO LUCAS DE SOUZA RANGEL";"58380000";"JARDIM FARIAS";"INGÁ";"PB"
"9";"15-0009";"RUA CÔNEGO FIRMINO CAVALCANTE, 920 - CENTRO";"58388000";"CENTRO";"ALAGOA GRANDE";"PB"
"10";"15-0010";"RUA ALMEIDA BARRETO, 39";"58200000";"CENTRO";"GUARABIRA";"PB"
"11";"15-0011";"PRAÇA DO TRABALHO, SN";"58397000";"JUSSARA";"AREIA";"PB"
"12";"15-0012";"RUA MONSENHOR WALFREDO, 33";"58395000";"CENTRO";"SERRARIA";"PB"
"13";"15-0013";"RUA JOÃO PESSOA , 168";"58125000";"CENTRO";"ALAGOA NOVA";"PB"
"14";"15-0014";"RUA ADJALMA EPITÁCIO, S/N";"58220000";"CONJUNTO MAJOR AUGUSTO BEZERRA";"BANANEIRAS";"PB"
"15";"15-0015";"RUA ANTENOR NAVARRO, S/N";"58253000";"CENTRO";"CAIÇARA";"PB"
"16";"15-0016";"RUA RIO GRANDE DO SUL S/N - COMPLEXO JUDICIARIO";"58414025";"LIBERDADE";"CAMPINA GRANDE";"PB"
"17";"15-0017";"RUA RIO GRANDE DO SUL, S/N";"58414025";"LIBERDADE";"CAMPINA GRANDE";"PB"
"18";"15-0018";"PRAÇA JOÃO PESSOA, 25 - TÉRREO";"58497000";"CENTRO";"UMBUZEIRO";"PB"
"19";"15-0019";"RUA CÍCERO GALDINO SOBRINHO, 56";"58135000";"CENTRO";"ESPERANÇA";"PB"
"20";"15-0020";"RUA LUIZ TARGINO MOREIRA, S/N,";"58233000";"CENTRO";"ARARUNA";"PB"
"21";"15-0021";"R. PADRE INACIO CAVALCANTE DE ALBUQUERQUE, N 379";"58480000";"CENTRO";"CABACEIRAS";"PB"
"22";"15-0022";"RUA LOURIVAL RAMOS, S/N";"58590000";"CENTRO";"SÃO JOÃO DO CARIRI";"PB"
"23";"15-0023";"RUA VENÂNCIO MARTINS SAMPAIO, S/N (FÓRUM)";"58155000";"JARDIM CRUZEIRO";"SOLEDADE";"PB"
"24";"15-0024";"RUA SAMUEL FURTADO, S/N";"58175000";"CENTRO";"CUITÉ";"PB"
"25";"15-0025";"RUA OTÁVIO HENRIQUES, 41";"58187000";"CENTRO";"PICUÍ";"PB"
"26";"15-0026";"FÓRUM ELEITORAL DES. LUIZ SILVIO RAMALHO - RUA BONIFÁCIO NÓBREGA, S/N";"58600000";"BAIRRO SAO JOSE";"SANTA LUZIA";"PB"
"27";"15-0027";"RUA SOLON DE LUCENA, S/N";"58680000";"BAIRRO DO ALTO";"TAPEROÁ";"PB"
"28";"15-0028";"RUA VIDAL DE NEGREIROS, 200";"58700330";"CENTRO";"PATOS";"PB"
"29";"15-0029";"RUA CAPITÃO ANTÔNIO VICENTE, N 11";"58500000";"CENTRO";"MONTEIRO";"PB"
"30";"15-0030";"RUA TEN. MANOEL DE OLIVEIRA LIRA, S/N";"58735000";"CENTRO";"TEIXEIRA";"PB"
"31";"15-0031";"RUA PROFESSORA MARIA CLAUDETE BANDEIRA DE SOUSA, 307";"58840000";"PETROPOLIS";"POMBAL";"PB"
"32";"15-0032";"RUA VIRGILIO DE ARAÚJO SILVA, SN";"58765000";"JARDIM OURO BRANCO";"PIANCÓ";"PB"
"33";"15-0033";"RUA FELINTO EVANGELISTA PRIMO, S/N,  ANEXO AO FÓRUM LOCAL";"58780000";"LOTEAMENTO JOAO SILVINO";"ITAPORANGA";"PB"
"34";"15-0034";"RUA SAO ROQUE, 210, CENTRO";"58755000";"CENTRO";"PRINCESA ISABEL";"PB"
"35";"15-0035";"FÓRUM ELEITORAL DES. WALTER SARMENTO DE SÁ - RUA HAROLDO NAZARETH, SN";"58804718";"RACHEL GADELHA";"SOUSA";"PB"
"36";"15-0036";"AV. DEP. AMÉRICO MAIA, S/N";"58884000";"JOÃO SERAFIM";"CATOLÉ DO ROCHA";"PB"
"37";"15-0037";"RUA PROJETADA";"58910000";"BAIRRO DAS POPULARES";"SÃO JOÃO DO RIO DO PEIXE";"PB"
"38";"15-0038";"RUA PADRE AYRES, S/N.";"58890000";"CENTRO";"BREJO DO CRUZ";"PB"
