"Nr Zona";"Cod Processual Res nº 65/CNJ";"Endereço";"CEP";"Bairro";"Município Sede";"UF";
"1";"18-0001";"RUA 24 DE JANEIRO, 243";"64000080";"CENTRO";"TERESINA";"PI"
"2";"18-0002";"RUA VINTE E QUATRO DE JANEIRO, N. 243, CENTRO-NORTE.";"64000080";"CENTRO";"TERESINA";"PI"
"3";"18-0003";"AV. NOSSA SENHORA DE FATIMA, 363";"64202060";"NOSSA SENHORA DE FATIMA";"PARNAÍBA";"PI"
"4";"18-0004";"AV NOSSA SENHORA DE FATIMA, 363";"64202060";"NOSSA SENHORA DE FATIMA";"PARNAÍBA";"PI"
"5";"18-0005";"AV ANTONIO DE ALENCAR FREITAS, 856";"64500000";"OEIRAS NOVA";"OEIRAS";"PI"
"6";"18-0006";"RUA GAL. TAUMATURGO AZEVEDO, 665";"64100000";"CENTRO";"BARRAS";"PI"
"7";"18-0007";"RUA BENJAMIN CONSTANT, 948";"64280000";"CENTRO";"CAMPO MAIOR";"PI"
"8";"18-0008";"PRAÇA AVELINO DE CASTRO NETO, 651 - CENTRO";"64400000";"CENTRO";"AMARANTE";"PI"
"9";"18-0009";"RUA FRANCISCO CASTRO, 940, MANGUINHA";"64800000";"MANGUINHA";"FLORIANO";"PI"
"10";"18-0010";"RUA PORFÍRIO BISPO DE SOUSA, S/N";"64607470";"DNER";"PICOS";"PI"
"11";"18-0011";"RUA PROFESSOR BEM, 1167 CENTRO";"64260000";"CENTRO";"PIRIPIRI";"PI"
"12";"18-0012";"RUA JOAO BENICIO DA SILVA, 465";"64255000";"CENTRO";"PEDRO II";"PI"
"13";"18-0013";"PÇA. GASPARINO FERREIRA, SN.";"64770000";"ALDEIA";"SÃO RAIMUNDO NONATO";"PI"
"14";"18-0014";"RUA ZECA LOLÓ,160, MALVINAS";"64860000";"CENTRO";"URUÇUÍ";"PI"
