"Nr Zona";"Cod Processual Res nº 65/CNJ";"Endereço";"CEP";"Bairro";"Município Sede";"UF";
"1";"14-0001";"RUA JOAO PAROLIN, 55";"80220902";"PRADO VELHO";"CURITIBA";"PR"
"2";"14-0002";"RUA JOAO PAROLIN, 55";"80220290";"PAROLIN";"CURITIBA";"PR"
"3";"14-0003";"RUA JOAO PAROLIN, 55";"80220290";"PRADO VELHO";"CURITIBA";"PR"
"4";"14-0004";"RUA JOAO PAROLIN, 55";"80220290";"PRADO VELHO";"CURITIBA";"PR"
"5";"14-0005";"RUA ODILON MADER, 994 - FORUM ELEITORAL";"83206080";"JARDIM ALVORADA";"PARANAGUÁ";"PR"
"6";"14-0006";"RUA BENTO CEGO, 177 - FÓRUM ELEITORAL";"83370000";"CENTRO";"ANTONINA";"PR"
"7";"14-0007";"RUA EXPEDICIONARIO PEDRO PAULIN S/NR";"83570000";"VILA ELIANE";"CERRO AZUL";"PR"
"8";"14-0008";"RUA ANGELO ZEN, 53 - FORUM ELEITORAL";"83005620";"CENTRO";"SÃO JOSÉ DOS PINHAIS";"PR"
"9";"14-0009";"AV. FRANCISCO XAVIER DE ALMEIDA GARRET, 1345 - FORUM ELEITORAL";"83601230";"CENTRO";"CAMPO LARGO";"PR"
"10";"14-0010";"AV. JOÃO JOSLIN DO VALE, 1250 - FÓRUM ELEITORAL";"83750000";"JARDIM CIDADE NOVA";"LAPA";"PR"
"11";"14-0011";"RUA XV DE NOVEMBRO 1445 - FÓRUM ELEITORAL";"83880000";"CENTRO";"RIO NEGRO";"PR"
"12";"14-0012";"RUA DOM PEDRO II, 785";"83900000";"CENTRO";"SÃO MATEUS DO SUL";"PR"
"13";"14-0013";"RUA BARÃO DO RIO BRANCO, S/N - FÓRUM ELEITORAL";"84130000";"CENTRO";"PALMEIRA";"PR"
"14";"14-0014";"RUA SAINT HILAIRE, 187 - FORUM ELEITORAL - VILA OFICINAS";"84035350";"OFICINAS";"PONTA GROSSA";"PR"
"15";"14-0015";"RUA SAINT HILAIRE, 187 - FORUM ELEITORAL";"84035350";"OFICINAS";"PONTA GROSSA";"PR"
"16";"14-0016";"RUA RAIMUNDO FEIJÓ GAIÃO, S/N";"84172560";"JARDIM DAS ARAUCÁRIAS";"CASTRO";"PR"
"17";"14-0017";"RODOVIA PR 340, S/N, FÓRUM ELEITORAL, AO LADO DA ESCOLA AROLDO";"84300000";"CAPIVARI";"TIBAGI";"PR"
"18";"14-0018";"RUA HELARINA LUIZA DE MATOS, S/N";"84200000";"JARDIM MATARAZZO";"JAGUARIAÍVA";"PR"
"19";"14-0019";"RUA CONS. AVELINO A. VIEIRA, 556 - FORUM DES ERNANI ALMEIDA DE ABREU";"84935000";"CENTRO";"TOMAZINA";"PR"
"20";"14-0020";"ESTRADA MUNICIPAL, N 340";"84950000";"JARDIM SAN RAFAEL";"WENCESLAU BRAZ";"PR"
"21";"14-0021";"RUA RIO GRANDE DO NORTE, S/N - FÓRUM ELEITORAL";"84940000";"SANTA IZABEL";"SIQUEIRA CAMPOS";"PR"
"22";"14-0022";"RUA RUI BARBOSA, 212 - FORUM ELEITORAL";"86430000";"CENTRO";"SANTO ANTÔNIO DA PLATINA";"PR"
"23";"14-0023";"RUA ROMUALDO CHIAROTTI, 430 - FORUM";"86410000";"JARDIM EUROPA";"RIBEIRÃO CLARO";"PR"
"24";"14-0024";"AV. WANDA QUINTANILHA, 252";"86400000";"NOVA JACAREZINHO";"JACAREZINHO";"PR"
"25";"14-0025";"RUA JOAQUIM RODRIGUES FERREIRA, 1157";"86390000";"MORADA DO SOL";"CAMBARÁ";"PR"
"26";"14-0026";"RUA DOS EXPEDICIONARIOS, 753 - FORUM ELEITORAL";"86300000";"JARDIM NOVO BANDEIRANTES";"CORNÉLIO PROCÓPIO";"PR"
"27";"14-0027";"RUA MINERVINA DE FREITAS, S/N - FÓRUM ELEITORAL";"84240000";"VILA BRASILINHA";"PIRAÍ DO SUL";"PR"
"28";"14-0028";"RUA URÂNIO, 880 - FORUM ELEITORAL";"86800450";"CENTRO";"APUCARANA";"PR"
"29";"14-0029";"RUA SANTO ANTONIO, 875";"84430000";"CENTRO";"IMBITUVA";"PR"
"30";"14-0030";"RUA OSÓRIO GUIMARÃES, 620 - FORUM ELEITORAL";"84400000";"CENTRO";"PRUDENTÓPOLIS";"PR"
"31";"14-0031";"AV. JOSE CUSTODIO DE OLIVEIRA, 2004 - FÓRUM ELEITORAL";"87300010";"CENTRO";"CAMPO MOURÃO";"PR"
"32";"14-0032";"RUA CAPITÃO PAULO DE ARAÚJO, 657, ESQUINA COM RUA AVELINO MAZALOTTI";"85555000";"SÃO JOSÉ";"PALMAS";"PR"
"33";"14-0033";"RUA PRUDENTE DE MORAIS, 118";"84600000";"CENTRO";"UNIÃO DA VITÓRIA";"PR"
"34";"14-0034";"RUA JOÃO STOKLOS, N.200";"84500000";"CENTRO";"IRATI";"PR"
"35";"14-0035";"RUA DEPUTADO FRANCISCO ESCORSIN";"86220000";"CONJUNTO ASSAI";"ASSAÍ";"PR"
"36";"14-0036";"RUA AGENOR CHAVES FERREIRA, 405- EDIFÍCIO DO FÓRUM ELEITORAL";"84450000";"CENTRO";"IPIRANGA";"PR"
"37";"14-0037";"RUA OLAVO BILAC, 1432";"84570000";"CENTRO";"MALLET";"PR"
"38";"14-0038";"RUA DUQUE DE CAXIAS 590, FÓRUM ELEITORAL - CENTRO";"85200000";"CENTRO";"PITANGA";"PR"
"39";"14-0039";"RUA ERNESTINA CASTRO LANHOSO, ESQUINA R LIBÓRIO DE PAULA MILLÉO, S/N";"84320000";"BOA VISTA";"RESERVA";"PR"
"40";"14-0040";"RUA MINAS GERAIS, 802";"86170000";"CENTRO";"SERTANÓPOLIS";"PR"
"41";"14-0041";"RUA GOV. PARIGOT DE SOUZA, 231 - FORUM ELEITORAL";"86015650";"CENTRO CÍVICO";"LONDRINA";"PR"
"42";"14-0042";"RUA GOV. PARIGOT DE SOUZA, 231- FORUM ELEITORAL";"86015650";"CENTRO";"LONDRINA";"PR"
"43";"14-0043";"RUA BRIGADEIRO ROCHA, 1046 - FORUM ELEITORAL";"85012260";"TRIANON";"GUARAPUAVA";"PR"
"44";"14-0044";"RUA BRIGADEIRO ROCHA, 1046 - FORUM ELEITORAL";"85015590";"TRIANON";"GUARAPUAVA";"PR"
"45";"14-0045";"RUA BARÃO DO RIO BRANCO, 3010, FORUM ELEITORAL";"85303130";"CENTRO";"LARANJEIRAS DO SUL";"PR"
"46";"14-0046";"AV. COSTA E SILVA, 1599 - FORUM ELEITORAL";"85863000";"ALTO SAO FRANCISCO";"FOZ DO IGUAÇU";"PR"
"47";"14-0047";"RUA MAJOR DIOGO RIBEIRO, 375";"85530000";"CENTRO";"CLEVELÂNDIA";"PR"
"48";"14-0048";"RUA LUIZ CARLOS GUIMARÃES POLLI, 21 - FORUM ELEITORAL";"83450000";"JARDIM SANTA HELENA";"BOCAIÚVA DO SUL";"PR"
"49";"14-0049";"RUA PADRE FRANCISCO CAMARGO, 759 - FORUM ELEITORAL";"83414010";"CENTRO";"COLOMBO";"PR"
"50";"14-0050";"RUA FRANCISCO DRANKA, 1079";"83703115";"PORTO DAS LARANJEIRAS";"ARAUCÁRIA";"PR"
"51";"14-0051";"PROLONGAMENTO DA RUA XV DE NOVEMBRO , S/N";"83350000";"SÍTIO DO CAMPO";"MORRETES";"PR"
"52";"14-0052";"RUA VEREADOR PEDRO VAGNER, 05";"84150000";"CENTRO";"SÃO JOÃO DO TRIUNFO";"PR"
"53";"14-0053";"RUA JOÃO NEGRÃO JUNIOR, 380";"84530000";"CENTRO";"TEIXEIRA SOARES";"PR"
"54";"14-0054";"RUA JOSE DOMINGOS BRANCO, 820";"84220000";"JARDIM APOLO";"SENGÉS";"PR"
"55";"14-0055";"RUA 21 DE SETEMBRO, SN - FÓRUM ELEITORAL";"86455000";"CENTRO";"JOAQUIM TÁVORA";"PR"
"56";"14-0056";"RUA JOSÉ SALLES, 210 - FÓRUM ELEITORAL";"86420000";"JARDIM ITÁLIA II";"CARLÓPOLIS";"PR"
"57";"14-0057";"RUA ALAGOAS, 80";"86380000";"CENTRO";"ANDIRÁ";"PR"
"58";"14-0058";"RUA ELÍSIO MANOEL DOS SANTOS, 437";"86360000";"IBC";"BANDEIRANTES";"PR"
"59";"14-0059";"RUA ERNESTO CAMPANER, 335";"86605196";"JARDIM SANTA MONICA";"ROLÂNDIA";"PR"
"60";"14-0060";"AV. MARCOS DIAS, 297 - FORUM ELEITORAL";"86975000";"JARDIM BOA VISTA";"MANDAGUARI";"PR"
"61";"14-0061";"RUA TICO TICO, 1001";"86707020";"VILA NATAL";"ARAPONGAS";"PR"
"62";"14-0062";"RUA ADOLFO STADLER, 551";"84550000";"ALTO DA GLÓRIA";"REBOUÇAS";"PR"
"63";"14-0063";"RUA PAULO NADER, 287";"86270000";"CENTRO";"SÃO JERÔNIMO DA SERRA";"PR"
"64";"14-0064";"RUA ALMERINDA RODRIGUES DOS SANTOS S/N ESQUINA COM A RUA MARANHÃO";"86610000";"CENTRO";"JAGUAPITÃ";"PR"
"65";"14-0065";"RUA HORÁCIO PAGANO, 71 - FÓRUM ELEITORAL";"86160000";"CENTRO";"PORECATU";"PR"
"66";"14-0066";"AV. GASTÃO VIDIGAL, 605 - FORUM ELEITORAL";"87020016";"AEROPORTO";"MARINGÁ";"PR"
"67";"14-0067";"RUA BATISTA BORÁZIO, 31 - FÓRUM ELEITORAL";"86730000";"CENTRO";"ASTORGA";"PR"
"68";"14-0068";"RUA JUSCELINO KUBTSCHEK DE OLIVEIRA, 1206 - FORUM ELEITORAL";"85807440";"CENTRO";"CASCAVEL";"PR"
"69";"14-0069";"RUA TENENTE CAMARGO, 2500 - FORUM ELEITORAL";"85601610";"N S APARECIDA";"FRANCISCO BELTRÃO";"PR"
"70";"14-0070";"RUA JOSÉ MIGUEL LOPES VILLAR, 330";"86900000";"CONJUNTO NOVA JANDAIA";"JANDAIA DO SUL";"PR"
"71";"14-0071";"RUA PROFESSORA ADELINA PROCOPIAK, 268 - FÓRUM ELEITORAL";"87600000";"CENTRO";"NOVA ESPERANÇA";"PR"
"72";"14-0072";"AV. DEP. HEITOR ALENCAR FURTADO, 3.300 - FÓRUM ELEITORAL";"87711000";"JARDIM SAO JORGE";"PARANAVAÍ";"PR"
"73";"14-0073";"RUA PARANÁ, N 1565";"85501025";"CENTRO";"PATO BRANCO";"PR"
"74";"14-0074";"RUA JULIO CARNEIRO CAMARGO, 331";"87250000";"CENTRO";"PEABIRU";"PR"
"75";"14-0075";"RUA MIRALDO PEDRO ZIBETTI, 185 - FORUM ELEITORAL";"85903160";"JARDIM SANTA MARIA";"TOLEDO";"PR"
"76";"14-0076";"RUA XV DE NOVEMBRO, 492 - FÓRUM ELEITORAL";"86825000";"CENTRO";"MARILÂNDIA DO SUL";"PR"
"77";"14-0077";"FÓRUM ELEITORAL - RUA JULIO FAVARO, N. 60";"86130000";"JD ALVIM WERNER";"BELA VISTA DO PARAÍSO";"PR"
"78";"14-0078";"AV. ESPERANÇA, N 450 - PARQUE RESIDENCIAL CAMBÉ";"86191010";"CENTRO";"CAMBÉ";"PR"
"79";"14-0079";"RUA RUI BARBOSA, 359 - CENTRO";"84900000";"CENTRO";"IBAITI";"PR"
"80";"14-0080";"R ALBERTO SPIACCI S/N - ESQ. R ANTONIO LUDOVICO BETIATI";"86200000";"JD. ITAMARATI";"IBIPORÃ";"PR"
"81";"14-0081";"AV. TIO RIBAS, 1050";"86990000";"VILA BRASIL";"MARIALVA";"PR"
"82";"14-0082";"RUA SYNÉSIO ANDRADE BORGES, 565";"86490000";"CENTRO";"RIBEIRÃO DO PINHAL";"PR"
"83";"14-0083";"AV. BRASIL - 03 - FÓRUM ELEITORAL";"85710000";"CENTRO";"SANTO ANTÔNIO DO SUDOESTE";"PR"
"84";"14-0084";"AV. PARANÁ ESQUINA COM RUA PROF CECÍLIA ASSUMPÇÃO AVELAR";"86280000";"CENTRO";"URAÍ";"PR"
"85";"14-0085";"RUA RIO GRANDE DO SUL, S/N - FÓRUM ELEITORAL";"87900000";"ALTO DA GLORIA";"LOANDA";"PR"
"86";"14-0086";"AV. BRASIL, 4220 - PRAÇA AGENOR BORTOLON";"87400000";"SUL BRASILEIRA";"CRUZEIRO DO OESTE";"PR"
"87";"14-0087";"RUA PASTEUR 973";"87750000";"CENTRO";"ALTO PARANÁ";"PR"
"88";"14-0088";"PRAÇA CENTRO CÍVICO, 51";"87200127";"CENTRO";"CIANORTE";"PR"
"89";"14-0089";"RUA DES. ANTONIO F. F. DA COSTA, 3585 - FORUM ELEITORAL";"87501200";"CENTRO";"UMUARAMA";"PR"
"90";"14-0090";"RUA COMANDANTE MORAES REGO, N.700";"85980000";"CENTRO";"GUAÍRA";"PR"
"91";"14-0091";"RUA MÁRIO XAVIER DE SOUZA, 1248";"87660000";"CENTRO";"PARANACITY";"PR"
"92";"14-0092";"AVENIDA GUIMARÃES ROSA, S/N - FÓRUM ELEITORAL";"87360000";"JARDIM LINDOIA";"GOIOERÊ";"PR"
"93";"14-0093";"AVENIDA ITÁLIA, N. 10 - FÓRUM ELEITORAL";"86870000";"JARDIM EUROPA";"IVAIPORÃ";"PR"
"94";"14-0094";"RUA PRINCESA ISABEL, ESQ. RUA CAMPOS SALES - FÓRUM ELEITORAL";"87910000";"CENTRO";"SANTA ISABEL DO IVAÍ";"PR"
"95";"14-0095";"AVENIDA BRASIL, SN (AO LADO DA RODOVIÁRIA)";"86690000";"CENTRO";"COLORADO";"PR"
"96";"14-0096";"AV. ITIO KONDO, 1054";"87970000";"CENTRO";"NOVA LONDRINA";"PR"
"97";"14-0097";"RUA CRISTÓVÃO COLOMBO, N 740 - FÓRUM ELEITORAL";"87560000";"PRIMAVERA";"IPORÃ";"PR"
"98";"14-0098";"RUA SANTOS DUMONT S/N Q.13 LT. 7, 8, 9.";"85440000";"CENTRO";"UBIRATÃ";"PR"
"99";"14-0099";"AV. SÃO PAULO, 332 - FÓRUM";"86320000";"CENTRO";"CONGONHINHAS";"PR"
"100";"14-0100";"RUA PROJETADA SN, AOS FUNDOS DO FÓRUM ESTADUAL";"87780000";"CENTRO";"PARAÍSO DO NORTE";"PR"
"101";"14-0101";"AVENIDA GENEROSO MARQUES, S/N - FORUM ELEITORAL";"85550000";"INDUSTRIAL";"CORONEL VIVIDA";"PR"
"102";"14-0102";"RUA XANGAI, N. 198";"87160000";"JARDIM MÔNACO";"MANDAGUAÇU";"PR"
"103";"14-0103";"RUA ANTONIO DE QUADROS, 4243";"85560000";"SÃO SEBASTIÃO";"CHOPINZINHO";"PR"
"104";"14-0104";"RUA ONZE, 1090 - FORUM";"86140000";"CENTRO";"PRIMEIRO DE MAIO";"PR"
"105";"14-0105";"AVENIDA LUIZ GUALTIERRE, 615";"87890000";"CENTRO";"TERRA RICA";"PR"
"106";"14-0106";"RUA JOSÉ ADAMOWICZ, S/N, CENTRO - FORUM ELEITORAL";"84470000";"CENTRO";"CÂNDIDO DE ABREU";"PR"
"107";"14-0107";"RUA PADRE CIRILO, 199 - FÓRUM ELEITORAL";"85760000";"CENTRO";"CAPANEMA";"PR"
"108";"14-0108";"AV. PREFEITO NICANOR FERREIRA DE MELLO, 265";"86310000";"CENTRO";"NOVA FÁTIMA";"PR"
"109";"14-0109";"RODOVIA ANTONIO DA SILVA MACHADO, SN - FORUM ELEITORAL";"86350000";"CENTRO";"SANTA MARIANA";"PR"
"110";"14-0110";"RUA BENEDITO CIRILO, 220, FÓRUM ELEITORAL";"86840000";"CENTRO";"FAXINAL";"PR"
"111";"14-0111";"AV. NOSSA SRA DE FATIMA, EM FTE N 353 - FORUM ELEITORAL";"84261500";"CENTRO";"TELÊMACO BORBA";"PR"
"112";"14-0112";"AV. MANOEL RIBAS, S/N - FORUM ELEITORAL";"85400000";"CENTRO";"GUARANIAÇU";"PR"
"113";"14-0113";"AV. CÍVICA, 416";"85935000";"CENTRO";"ASSIS CHATEAUBRIAND";"PR"
"114";"14-0114";"RUA ESPÍRITO SANTO, 2161 - FÓRUM ELEITORAL";"85884000";"NAZARE";"MEDIANEIRA";"PR"
"115";"14-0115";"AV. DEDI BARRICHELLO MONTAGNER, 880 - FÓRUM ELEITORAL";"85660000";"CENTRO";"DOIS VIZINHOS";"PR"
"116";"14-0116";"AVENIDA BRASIL, S/N - FÓRUM ELEITORAL";"87270000";"CENTRO";"ENGENHEIRO BELTRÃO";"PR"
"117";"14-0117";"AV. ROQUE GONZALES, 215 - FÓRUM ESTADUAL";"87535000";"CENTRO";"XAMBRÊ";"PR"
"118";"14-0118";"AV. CRISTOVÃO COLOMBO, 817";"85887000";"CENTRO";"MATELÂNDIA";"PR"
"119";"14-0119";"DANIVAL ROBERTO DIAS";"84280000";"CENTRO";"CURIÚVA";"PR"
"120";"14-0120";"RUA JOÃO GASK CABRERA";"85830000";"CENTRO";"FORMOSA DO OESTE";"PR"
"121";"14-0121";"RUA RIO GRANDE DO NORTE, 530";"85960000";"CENTRO";"MARECHAL CÂNDIDO RONDON";"PR"
"122";"14-0122";"RUA NEREU RAMOS, 400";"85877000";"CENTRO";"SÃO MIGUEL DO IGUAÇU";"PR"
"123";"14-0123";"RUA MANOEL RIBAS 1251";"87550000";"CENTRO";"ALTÔNIA";"PR"
"124";"14-0124";"RUA JUSCELINO KUBITSCHEK, N 1.768,";"85950000";"OSVALDO CRUZ";"PALOTINA";"PR"
"125";"14-0125";"RUA SÃO PAULO, 300";"85990000";"PARQUE VERDE";"TERRA ROXA";"PR"
"126";"14-0126";"AV. MINAS GERAIS, N 98";"85420000";"CENTRO";"CORBÉLIA";"PR"
"127";"14-0127";"ALAMEDA SANTA MARIA, 46 - FORUM ELEITORAL";"87820000";"CENTRO";"CIDADE GAÚCHA";"PR"
"128";"14-0128";"AVENIDA CURITIBA, N. 451 - FORUM ELEITORAL JAIR FAXINA";"87580000";"CENTRO";"ALTO PIQUIRI";"PR"
"129";"14-0129";"FÓRUM ELEITORAL GOYÁ CAMPOS - RUA ÂNGELO CATTANI, S/N";"85892000";"CENTRO";"SANTA HELENA";"PR"
