"Nr Zona";"Cod Processual Res nº 65/CNJ";"Endereço";"CEP";"Bairro";"Município Sede";"UF";
"1";"19-0001";"RUA SACADURA CABRAL, 226";"20221161";"SAUDE";"RIO DE JANEIRO";"RJ"
"2";"19-0002";"RUA SACADURA CABRAL 226 FUNDOS SOBRADO";"20221161";"SAUDE";"RIO DE JANEIRO";"RJ"
"3";"19-0003";"RUA CONDE DE BAEPENDI, 40";"22231140";"LARANJEIRAS";"RIO DE JANEIRO";"RJ"
"4";"19-0004";"RUA JARDIM BOTÂNICO 1060";"22460000";"JARDIM BOTÂNICO";"RIO DE JANEIRO";"RJ"
"5";"19-0005";"RUA MIGUEL LEMOS 97 -  TERREO";"22071000";"COPACABANA";"RIO DE JANEIRO";"RJ"
"6";"19-0006";"AV. PROF. MANOEL DE ABREU 286";"20550170";"MARACANÃ";"RIO DE JANEIRO";"RJ"
"7";"19-0007";"RUA ANTONIO BASILIO 76";"20511190";"TIJUCA";"RIO DE JANEIRO";"RJ"
"8";"19-0008";"RUA 24 DE MAIO 931 - FUNDOS";"20950091";"ENGENHO NOVO";"RIO DE JANEIRO";"RJ"
"9";"19-0009";"AV AYRTON SENNA 2001 BLOCO C";"22775002";"BARRA";"RIO DE JANEIRO";"RJ"
"10";"19-0010";"RUA ASSIS CARNEIRO 436";"20740260";"PIEDADE";"RIO DE JANEIRO";"RJ"
"11";"19-0011";"RUA FILOMENA NUNES, 961";"21021380";"OLARIA";"RIO DE JANEIRO";"RJ"
"12";"19-0012";"AV. DOM HELDER CAMARA 10121 - TERCEIRO ANDAR";"21380001";"CASCADURA";"RIO DE JANEIRO";"RJ"
"13";"19-0013";"AV. AYRTON SENNA 2001 BLOCO C - FRENTE";"22775002";"BARRA";"RIO DE JANEIRO";"RJ"
"14";"19-0014";"RUA GETULIO 127";"20775000";"TODOS OS SANTOS";"RIO DE JANEIRO";"RJ"
"15";"19-0015";"RUA JOAO VICENTE 1545";"21610210";"MARECHAL HERMES";"RIO DE JANEIRO";"RJ"
"16";"19-0016";"RUA MINISTRO TAVARES DE LIRA 128";"22221060";"LARANJEIRAS";"RIO DE JANEIRO";"RJ"
"17";"19-0017";"RUA JARDIM BOTÂNICO 1060";"22460000";"JARDIM BOTÂNICO";"RIO DE JANEIRO";"RJ"
"18";"19-0018";"RUA MIGUEL LEMOS 97 - 3 ANDAR";"22071000";"COPACABANA";"RIO DE JANEIRO";"RJ"
"19";"19-0019";"AVENIDA PROFESSOR MANOEL DE ABREU 286";"20550170";"MARACANÃ";"RIO DE JANEIRO";"RJ"
"20";"19-0020";"RUA DIAS DA CRUZ 787 - SEGUNDO ANDAR";"20720011";"MEIER";"RIO DE JANEIRO";"RJ"
"21";"19-0021";"RUA FILOMENA NUNES 971";"21021380";"OLARIA";"RIO DE JANEIRO";"RJ"
"22";"19-0022";"AV. MONSENHOR FELIX 512- XIV REGIÃO ADMINISTRATIVA";"21235110";"IRAJÁ";"RIO DE JANEIRO";"RJ"
"23";"19-0023";"RUA JOAO VICENTE 1545 A";"21610210";"MARECHAL HERMES";"RIO DE JANEIRO";"RJ"
"24";"19-0024";"RUA FIGUEIREDO CAMARGO 1133 SALA 204";"21870210";"BANGU";"RIO DE JANEIRO";"RJ"
"25";"19-0025";"PRAÇA DA SUPERINTENDÊNCIA 420";"23570580";"SANTA CRUZ";"RIO DE JANEIRO";"RJ"
"26";"19-0026";"PRAÇA GETÚLIO VARGAS, 89/97 - ANTIGO FÓRUM";"28610175";"CENTRO";"NOVA FRIBURGO";"RJ"
"27";"19-0027";"TRAV. VILA IBOTY 16";"26255240";"CENTRO";"NOVA IGUAÇU";"RJ"
