"Nr Zona";"Cod Processual Res nº 65/CNJ";"Endereço";"CEP";"Bairro";"Município Sede";"UF";
"1";"20-0001";"AV. RUI BARBOSA, S/N";"59015290";"TIROL";"NATAL";"RN"
"2";"20-0002";"AV. RUI BARBOSA, SN";"59015290";"TIROL";"NATAL";"RN"
"3";"20-0003";"AVENIDA RUI BARBOSA, SN";"59015290";"TIROL";"NATAL";"RN"
"4";"20-0004";"AV. RUI BARBOSA, S/N";"59015290";"TIROL";"NATAL";"RN"
"5";"20-0005";"R. OVÍDIO PEREIRA DA COSTA, 10, ARAÇÁ";"59280000";"CENTRO";"MACAÍBA";"RN"
"6";"20-0006";"ALAMEDA DO V CENTENÁRIO DO BRASIL, 66, CENTRO-FÓRUM DES. EDGAR BARBOSA";"59570000";"CENTRO";"CEARÁ-MIRIM";"RN"
"7";"20-0007";"AV SENADOR JOÃO CÂMARA, S/N";"59162000";"CENTRO";"SÃO JOSÉ DE MIPIBU";"RN"
"8";"20-0008";"RUA ANTÔNIO DE OLIVEIRA AZEVEDO, 51";"59460000";"CENTRO";"SÃO PAULO DO POTENGI";"RN"
"9";"20-0009";"RUA VIGARIO ANTONIO MONTENEGRO, 353";"59173000";"CENTRO";"GOIANINHA";"RN"
"10";"20-0010";"AV. ARTHUR FERREIRA DA SOLEDADE, S/N, RODOVIA RN-120, ALTO DO FERREIRA";"59550000";"ZONA RURAL";"JOÃO CÂMARA";"RN"
"11";"20-0011";"RUA GETULIO VARGAS, 109 - CENTRO";"59190000";"CENTRO";"CANGUARETAMA";"RN"
"12";"20-0012";"RUA PADRE NORMANDO PIGNATARO DELGADO, S/N";"59215000";"FREI DAMIAO";"NOVA CRUZ";"RN"
"13";"20-0013";"RUA PROFESSOR EDMILSON SEVERIANO DE MELO, S/N";"59255000";"CENTRO";"SANTO ANTÔNIO";"RN"
"14";"20-0014";"RUA CEL. ANTONIO ANTUNES S/N";"59584000";"CENTRO";"TOUROS";"RN"
"15";"20-0015";"PRAÇA SÃO JOSÉ, S/N";"59275000";"CENTRO";"SÃO JOSÉ DO CAMPESTRE";"RN"
"16";"20-0016";"AV. LOURENÇO DA ROCHA, 122";"59200000";"CENTRO";"SANTA CRUZ";"RN"
"17";"20-0017";"TRAVESSA RAIMUNDO DE MELO, 174";"59535000";"CENTRO";"LAJES";"RN"
"18";"20-0018";"RUA PEDRO MATOS, 81";"59515000";"CENTRO";"ANGICOS";"RN"
"19";"20-0019";"RUA LADISLAU GALVAO, 187";"59400000";"CENTRO";"SÃO TOMÉ";"RN"
"20";"20-0020";"RUA MANOEL LOPES FILHO, 922";"59380000";"VALFREDO GALVAO";"CURRAIS NOVOS";"RN"
"21";"20-0021";"RUA FRANCISCO CÍCERO, 14, CENTRO, FLORÂNIA-RN.";"59335000";"CENTRO";"FLORÂNIA";"RN"
