"Nr Zona";"Cod Processual Res nº 65/CNJ";"Endereço";"CEP";"Bairro";"Município Sede";"UF";
"1";"24-0001";"AVENIDA XV DE NOVEMBRO, 1475 - SALA 103 - ED. CLASSIC";"88900019";"CENTRO";"ARARANGUÁ";"SC"
"2";"24-0002";"R HERMÓGENES PRAZERES, 277";"88160000";"CENTRO";"BIGUAÇU";"SC"
"3";"24-0003";"PRAÇA VICTOR KONDER, 60, FÓRUM UNIVERSITÁRIO";"89010150";"CENTRO";"BLUMENAU";"SC"
"4";"24-0004";"R ANITA GARIBALDI, 343, LOJA 01, TÉRREO.";"88680000";"CENTRO";"BOM RETIRO";"SC"
"5";"24-0005";"RUA HUMBERTO MATTIOLLI, 78";"88350140";"CENTRO";"BRUSQUE";"SC"
"6";"24-0006";"R VICTOR BAPTISTA ADAMI, 919, SALA 01";"89500000";"CENTRO";"CAÇADOR";"SC"
"7";"24-0007";"R CORONEL FARRAPO, 428";"89620000";"CENTRO";"CAMPOS NOVOS";"SC"
"8";"24-0008";"RUA MARECHAL FLORIANO, 959";"89460000";"CENTRO";"CANOINHAS";"SC"
"9";"24-0009";"R ÂNGELO ARI BIEZUS, N. 69, LOJA 01";"89700000";"IMIGRANTES";"CONCÓRDIA";"SC"
"10";"24-0010";"AV GETULIO VARGAS, 361, PALÁCIO DO ESTADO";"88801500";"CENTRO";"CRICIÚMA";"SC"
"11";"24-0011";"AVENIDA ADVOGADO SEBASTIAO CALOMENO, S/N";"89520000";"SAO FRANCISCO";"CURITIBANOS";"SC"
"12";"24-0012";"AV. RIO BRANCO, N. 797";"88015203";"CENTRO";"FLORIANÓPOLIS";"SC"
"13";"24-0013";"AVENIDA RIO BRANCO, N. 797";"88015203";"CENTRO";"FLORIANÓPOLIS";"SC"
"14";"24-0014";"RUA DOUTOR GETÚLIO VARGAS, 560 - SALA TÉRREA";"89140000";"CENTRO";"IBIRAMA";"SC"
"15";"24-0015";"RUA MARECHAL FLORIANO PEIXOTO, 35, EDIFÍCIO MENKE, LOJA 10";"89130000";"CENTRO";"INDAIAL";"SC"
"16";"24-0016";"R URUGUAI 222, FORUM";"88302900";"CENTRO";"ITAJAÍ";"SC"
"17";"24-0017";"AV MAL. DEODORO DA FONSECA, N.  1188, SL. 103.";"89251702";"CENTRO";"JARAGUÁ DO SUL";"SC"
"18";"24-0018";"AV XV DE NOVEMBRO, 12 - TÉRREO - SALA 02";"89600000";"CENTRO";"JOAÇABA";"SC"
"19";"24-0019";"R JAGUARUNA, 38";"89201450";"CENTRO";"JOINVILLE";"SC"
