"Nr Zona";"Cod Processual Res nº 65/CNJ";"Endereço";"CEP";"Bairro";"Município Sede";"UF";
"1";"25-0001";"RUA ITABAIANA, 580";"49015110";"CENTRO";"ARACAJU";"SE"
"2";"25-0002";"RUA ITABAIANA, 580";"49015110";"CENTRO";"ARACAJU";"SE"
"3";"25-0003";"AV. MINISTRA LEONOR B. FRANCO N. 137";"49790000";"CENTRO";"AQUIDABÃ";"SE"
"4";"25-0004";"FORUM ELEITORAL PQ. CIT. GOV. JOAO ALVES FILHO, S/N";"49360000";"CENTRO";"BOQUIM";"SE"
"5";"25-0005";"FÓRUM ELEITORAL DE CAPELA- PÇA DO CONJ. MANOEL CARDOSO S. FILHO, S/N";"49700000";"CENTRO";"CAPELA";"SE"
"6";"25-0006";"AV SANTA CRUZ S/N";"49200000";"SANTA CRUZ";"ESTÂNCIA";"SE"
"7";"25-0007";"TRAVESSA CORONEL CASSEMIRO,79-FÓRUM FLÁVIO DA ROSA MELO";"49514970";"CENTRO";"FREI PAULO";"SE"
"8";"25-0008";"AV. PRESIDENTE COSTA E SILVA   S/N";"49830000";"CENTRO";"GARARU";"SE"
"9";"25-0009";"AV. DR. LUÍS MAGALHÃES, S/N - FÓRUM ELEITORAL DA 9 ZONA";"49500000";"SERRANO";"ITABAIANA";"SE"
"10";"25-0010";"FÓRUM JUIZ VALMIR TELES DO NASCIMENTO - TV FRANCISCO SEVERO, 117";"49290000";"GUILHERME CAMPOS";"ITABAIANINHA";"SE"
"11";"25-0011";"ROD. LÚCIO PRADO, 40 - FÓRUM MONSENHOR ALBERTO BRAGANÇA DE AZEVEDO";"49960000";"CENTRO";"JAPARATUBA";"SE"
"12";"25-0012";"FÓRUM JUIZ OSÓRIO DE ARAÚJO RAMOS, ROD. ANTÔNIO MARTINS DE MENEZES S/N";"49400000";"EXPOSICAO";"LAGARTO";"SE"
"13";"25-0013";"ALAMEDA IÊDA ROSA, S/N, FORUM LEVINDO CRUZ";"49170000";"CENTRO";"LARANJEIRAS";"SE"
"14";"25-0014";"RUA ÁLVARO GARCEZ, 485 - FORUM ADV. JAIME DE ARAÚJO ANDRADE";"49770000";"CENTRO";"MARUIM";"SE"
"15";"25-0015";"PRAÇA MONS. JOSÉ MORENO DE SANT'ANA, S/N,  FÓRUM DES. ANTÔNIO GÓES";"49980000";"CENTRO";"NEÓPOLIS";"SE"
"16";"25-0016";"PRAÇA DES. ALOÍSIO DE ABREU LIMA, S/N, FÓRUM ELEITORAL";"49600000";"CENTRO";"NOSSA SENHORA DAS DORES";"SE"
"17";"25-0017";"AVENIDA MANOEL ELIGIO DA MOTA, S/N - FÓRUM JUIZ ALOÍSIO VILAS-BÔAS";"49680000";"NOVA ESPERANÇA";"NOSSA SENHORA DA GLÓRIA";"SE"
"18";"25-0018";"RUA BONIFÁCIO PEREIRA DE SOUZA, S/N";"49800000";"COROA DO MEIO";"PORTO DA FOLHA";"SE"
"19";"25-0019";"AV. JOAO BARBOSA PORTO, SN - FORUM JUIZ JOÃO FERNANDES DE BRITTO";"49900000";"BELA VISTA";"PROPRIÁ";"SE"
"20";"25-0020";"RUA ALOISIO ACIOLY LEITE, 500";"49130000";"SITIO DO MEIO, POVOADO";"RIACHUELO";"SE"
"21";"25-0021";"LARGO JOEL FONTES COSTA S/N - RODOVIA JOAO BEBE AGUA";"49100000";"CENTRO";"SÃO CRISTÓVÃO";"SE"
"22";"25-0022";"FORUM ELEITORAL DES. BELMIRO S. GOES - PRAÇA LUCILA MACEDO DEDA, S/N";"49480000";"CENTRO";"SIMÃO DIAS";"SE"
"23";"25-0023";"PÇ. CASTELO BRANCO, S/N";"49300000";"CENTRO";"TOBIAS BARRETO";"SE"
"24";"25-0024";"RUA GABRIEL DE LIMA S/N";"49520000";"CENTRO";"CAMPO DO BRITO";"SE"
"25";"25-0025";"RODOVIA PROMOTOR VALDIR DE FREITAS DANTAS, S/N";"49930000";"CENTRO";"CEDRO DE SÃO JOÃO";"SE"
"26";"25-0026";"PRAÇA MANOEL DO CARMO DE JESUS S/N";"49530000";"CENTRO";"RIBEIRÓPOLIS";"SE"
"27";"25-0027";"RUA ITABAIANA, 580";"49015110";"SÃO JOSÉ";"ARACAJU";"SE"
"28";"25-0028";"FORUM ELEITORAL JUIZ MANOEL SOARES PINTO, RUA ANTONIO CAETANO DE SÁ";"49820000";"CENTRO";"CANINDÉ DE SÃO FRANCISCO";"SE"
"29";"25-0029";"PRAÇA MARIA JOVITA ARAGÃO, S/N";"49550000";"CENTRO";"CARIRA";"SE"
"30";"25-0030";"PRAÇA DA BANDEIRA, 245";"49270000";"CENTRO";"CRISTINÁPOLIS";"SE"
"31";"25-0031";"AV. EMIDIO MAXI NETO, 170  FORUM DES. JOSE FERNANDES PRADO VASCONCELOS";"49120000";"CENTRO";"ITAPORANGA D'AJUDA";"SE"
"32";"25-0032";"CONJUNTO ALBANO FRANCO, S/N";"49970000";"CENTRO";"PACATUBA";"SE"
"33";"25-0033";"RUA JOÃO JOSÉ DO ROSÁRIO, S/N, NAÇÃO POÇO VERDE/SE";"49490000";"CENTRO";"POÇO VERDE";"SE"
"34";"25-0034";"RUA MANOEL DOS PASSOS S/N";"49160000";"CENTRO";"NOSSA SENHORA DO SOCORRO";"SE"
"35";"25-0035";"RUA ANICETO LIMA - S/N";"49260000";"CENTRO";"UMBAÚBA";"SE"
"36";"25-0036";"RUA ITABAIANA, 580";"49015110";"SÃO JOSÉ";"ARACAJU";"SE"
