"Nr Zona";"Cod Processual Res nº 65/CNJ";"Endereço";"CEP";"Bairro";"Município Sede";"UF";
"1";"26-0001";"AVENIDA BRIGADEIRO LUÍS ANTONIO, 453";"01317000";"BELA VISTA";"SÃO PAULO";"SP"
"2";"26-0002";"RUA DR. COSTA JÚNIOR, 509";"05002000";"AGUA BRANCA";"SÃO PAULO";"SP"
"3";"26-0003";"RUA ANTONIO CORUJA, 99/109";"01126030";"BOM RETIRO";"SÃO PAULO";"SP"
"4";"26-0004";"RUA MADRE DE DEUS, 427";"03119000";"MOOCA";"SÃO PAULO";"SP"
"5";"26-0005";"RUA CLODOMIRO AMAZONAS, 41";"04537010";"ITAIM BIBI";"SÃO PAULO";"SP"
"6";"26-0006";"RUA LOEFGREEN, 2007";"04040033";"VILA CLEMENTINO";"SÃO PAULO";"SP"
"7";"26-0007";"AV. CELIDÔNIO NETO, 165";"17120000";"CENTRO";"AGUDOS";"SP"
"8";"26-0008";"RUA CAPITÃO MIRANDA, 57";"13900030";"CENTRO";"AMPARO";"SP"
"9";"26-0009";"RUA IGUAÇU, 589";"16901165";"STELLA MARIS";"ANDRADINA";"SP"
"10";"26-0010";"RUA MAJOR AUGUSTO FRANCISCO RIOS CARNEIRO, 44";"18320970";"CENTRO";"APIAÍ";"SP"
"11";"26-0011";"RUA BRIGADEIRO LUIZ ANTONIO, 46";"16010680";"HIGIENOPOLIS";"ARAÇATUBA";"SP"
"12";"26-0012";"RUA MANILIO GOBBI, 287- ESQUINA COM CORREIOS";"19700000";"CENTRO";"PARAGUAÇU PAULISTA";"SP"
"13";"26-0013";"RUA ITÁLIA, 1673, CENTRO";"14801350";"CENTRO";"ARARAQUARA";"SP"
"14";"26-0014";"AVENIDA ZURITA, 681";"13601020";"JARDIM BELVEDERE";"ARARAS";"SP"
"15";"26-0015";"RUA DR.CLYBAS PINTO FERRAZ, 75 - SALA C";"19800040";"VILA XAVIER";"ASSIS";"SP"
"16";"26-0016";"RUA JOSÉ IGNÁCIO, 329";"12940630";"CENTRO";"ATIBAIA";"SP"
"17";"26-0017";"RUA SANTA CATARINA, 781";"18700005";"CENTRO";"AVARÉ";"SP"
"18";"26-0018";"PRAÇA RUBIÃO JÚNIOR, 305 - FÓRUM";"12850000";"CENTRO";"BANANAL";"SP"
"19";"26-0019";"RUA FRANCISCO DE PAULA CARVALHO, 41";"17250000";"CENTRO";"BARIRI";"SP"
"20";"26-0020";"AVENIDA ELLIS MAAS, 875/877";"05859000";"CAPAO REDONDO";"SÃO PAULO";"SP"
"21";"26-0021";"AVENIDA 15, 749 - CENTRO";"14780280";"CENTRO";"BARRETOS";"SP"
"22";"26-0022";"PRAÇA DR. JOSÉ ARANTES JUNQUEIRA, 01";"14300000";"CENTRO";"BATATAIS";"SP"
"23";"26-0023";"RUA ANTONIO ALVES, 21-35";"17012060";"VILA SANTA TEREZA";"BAURU";"SP"
"24";"26-0024";"RUA ANTONIO ALVES DE TOLEDO, 161";"14700100";"CENTRO";"BEBEDOURO";"SP"
"25";"26-0025";"RUA ANTONIO SIMÕES, 65";"16200027";"CENTRO";"BIRIGUI";"SP"
"26";"26-0026";"RUA MONSENHOR FERRARI, 466";"18600310";"CENTRO";"BOTUCATU";"SP"
"27";"26-0027";"RUA MONSENHOR KOLLY,   190";"12900400";"CENTRO";"BRAGANÇA PAULISTA";"SP"
"28";"26-0028";"RUA QUINTINO BOCAIÚVA, 335";"17380000";"CENTRO";"BROTAS";"SP"
"29";"26-0029";"RUA DOM PEDRO II, 195";"12282370";"CENTRO";"CAÇAPAVA";"SP"
"30";"26-0030";"RUA MOURA ANDRADE, 35";"13770000";"CENTRO";"CACONDE";"SP"
"31";"26-0031";"RUA ARNALDO FERREIRA LIMA, 383";"16500000";"CENTRO";"CAFELÂNDIA";"SP"
"32";"26-0032";"RUA DOUTOR MATTA, 169";"14240000";"CENTRO";"CAJURU";"SP"
"33";"26-0033";"RUA REGENTE FEIJÓ, S/N - 3 AND. - SALA 303 -  PALÁCIO DA JUSTIÇA";"13013900";"CENTRO";"CAMPINAS";"SP"
"34";"26-0034";"RUA DR. CÂNDIDO FERREIRA, 63";"13270040";"CENTRO";"VALINHOS";"SP"
"35";"26-0035";"AV. DR. JANUÁRIO MIRAGLIA, 1200 - FÓRUM - ABERNÉSSIA";"12460000";"CENTRO";"CAMPOS DO JORDÃO";"SP"
"36";"26-0036";"RUA DR. PAULO DE ALMEIDA GOMES, 106, ANTIGA SANTA CASA";"11990000";"CENTRO";"CANANÉIA";"SP"
"37";"26-0037";"RUA RAFAEL MACHADO NETO, 50";"18304130";"VILA NOVA CAPAO BONITO";"CAPÃO BONITO";"SP"
"38";"26-0038";"RUA DR. JOÃO ADOLFO STEIN, 171";"13360000";"CENTRO";"CAPIVARI";"SP"
"39";"26-0039";"RUA LUIZ PIZA, 885";"13700000";"CENTRO";"CASA BRANCA";"SP"
"40";"26-0040";"RUA SETE DE FEVEREIRO, 885";"15801160";"CENTRO";"CATANDUVA";"SP"
"41";"26-0041";"RUA GOIÁS, 446";"18570000";"CENTRO";"CONCHAS";"SP"
"42";"26-0042";"RUA CORONEL JOAQUIM DO PRADO, 477";"12701370";"CENTRO";"CRUZEIRO";"SP"
"43";"26-0043";"RUA CORONEL MACEDO, 400 - TÉRREO";"12530000";"ALTO DO CRUZEIRO";"CUNHA";"SP"
"44";"26-0044";"RUA DR. ANASTÁCIO VIANA, 1005";"13690000";"CENTRO";"DESCALVADO";"SP"
"45";"26-0045";"AV. JOSÉ ALVES MIRA, 18";"17300000";"CENTRO";"DOIS CÓRREGOS";"SP"
"46";"26-0046";"RUA FRANCISCO JORGE, 2112";"14400840";"SÃO JOSÉ";"FRANCA";"SP"
"47";"26-0047";"RUA PLÍNIO DE GODOY, 236";"17400000";"WILLIAMS";"GARÇA";"SP"
"48";"26-0048";"RUA MARECHAL DEODORO, 203";"12500210";"CENTRO";"GUARATINGUETÁ";"SP"
"49";"26-0049";"AV. SETE DE SETEMBRO, 458";"14940000";"CENTRO";"IBITINGA";"SP"
"50";"26-0050";"RUA CAPITÃO VITORIANO MACHADO, 166";"14540000";"CENTRO";"IGARAPAVA";"SP"
"51";"26-0051";"RUA CAPITÃO DIAS, 222";"11920000";"CENTRO";"IGUAPE";"SP"
"52";"26-0052";"RUA CAP. VENÂNCIO AYRES, 514";"18200013";"CENTRO";"ITAPETININGA";"SP"
"53";"26-0053";"AV. PAULINA DE MORAES, 191";"18400818";"VILA OPHELIA";"ITAPEVA";"SP"
"54";"26-0054";"RUA PRUDENTE DE MORAES, 194";"13970050";"CENTRO";"ITAPIRA";"SP"
"55";"26-0055";"RUA PADRE TARALLO, 581";"14900000";"CENTRO";"ITÁPOLIS";"SP"
"56";"26-0056";"RUA QUINZE DE NOVEMBRO, 941";"18480000";"CENTRO";"ITAPORANGA";"SP"
"57";"26-0057";"RUA CORONEL FRUTUOSO, 235";"18460000";"CENTRO";"ITARARÉ";"SP"
"58";"26-0058";"RUA PROFESSOR BRITO, 200";"13250060";"CENTRO";"ITATIBA";"SP"
