"Nr Zona";"Cod Processual Res nº 65/CNJ";"Endereço";"CEP";"Bairro";"Município Sede";"UF";
"1";"27-0001";"AVENIDA NEIF MURAD, QUADRA 01, LOTE 02";"77826604";"SETOR NOROESTE";"ARAGUAÍNA";"TO"
"2";"27-0002";"AV ESPIRITO SANTO, ESQUINA COM RUA 5, S/N";"77403100";"CENTRO";"GURUPI";"TO"
"3";"27-0003";"AVENIDA LUIZ LEITE RIBEIRO, QUADRA A3, LOTE 7";"77500000";"SETOR AEROPORTO";"PORTO NACIONAL";"TO"
"4";"27-0004";"RUA 07, QD. 33-A, LT. 04";"77760000";"CENTRO";"COLINAS DO TOCANTINS";"TO"
"5";"27-0005";"RUA OSVALDO VASCONCELOS, S/N, (PRAÇA DO FÓRUM)";"77650000";"CENTRO";"MIRACEMA DO TOCANTINS";"TO"
"6";"27-0006";"RUA 8, QD. 15, LOTE 188, NR. 1133 - CENTRO";"77700000";"CENTRO";"GUARAÍ";"TO"
"7";"27-0007";"RUA ARAGUAIA, ESQ C/ AMÂNCIO DE MORAES - PÇA DO MERCADO";"77600000";"CENTRO";"PARAÍSO DO TOCANTINS";"TO"
"8";"27-0008";"AV. PREFEITO WILSON MARTINS DE CASTRO QD. 57 N. 433";"77795000";"CENTRO";"FILADÉLFIA";"TO"
"9";"27-0009";"RUA HORÁCIO NEGREIROS, 1.500 - SETOR AEROPORTO";"77900000";"CENTRO";"TOCANTINÓPOLIS";"TO"
"10";"27-0010";"RUA CASTELO BRANCO, 1168 - ESQ. C/ RUA GETÚLIO VARGAS";"77950000";"CENTRO";"ARAGUATINS";"TO"
"11";"27-0011";"RODOVIA DARCY MARINHO, S/N";"77920000";"CENTRO";"ITAGUATINS";"TO"
"12";"27-0012";"AVENIDA A, S/N, ESQ COM RUA MIGUEL DOS SANTOS BARROS, SETOR LESTE";"77880000";"SETOR LESTE";"XAMBIOÁ";"TO"
"13";"27-0013";"AVENIDA MADRE VERONICA, QD. 12, N 540, LOTES 1 E 2";"77490000";"CENTRO";"CRISTALÂNDIA";"TO"
"14";"27-0014";"AVENIDA JK, ESQUINA COM A RUA 7, S/N, QD 56-A, LOTE 01";"77480000";"CENTRO";"ALVORADA";"TO"
"15";"27-0015";"AV HERMINIO A. SOARES - QD 53 - LT 01 - N 115 - ESQUINA COM RUA 10";"77470000";"CENTRO";"FORMOSO DO ARAGUAIA";"TO"
"16";"27-0016";"AVENIDA BRASIL, ESQ. COM A RUA 07 - S/N";"77725000";"CENTRO";"COLMÉIA";"TO"
"17";"27-0017";"RUA AIROSA GODINHO S/N";"77320000";"SETOR INDUSTRIAL";"TAGUATINGA";"TO"
"18";"27-0018";"AVENIDA A QUADRA 25 - LOTE 01";"77360000";"CENTRO";"PARANÃ";"TO"
"19";"27-0019";"RUA A, QD 16,  LT 02, SETOR GINASIAL";"77370000";"SETOR GINASIAL";"NATIVIDADE";"TO"
"20";"27-0020";"AVENIDA ALAIR DE SENA CONCEIÇÃO, QUADRA 21, LTS 11, 12 E 13";"77460000";"SETOR SUL";"PEIXE";"TO"
"21";"27-0021";"RUA ANTONIO SOUSA GOMES";"77960000";"CENTRO";"AUGUSTINÓPOLIS";"TO"
"22";"27-0022";"AVENIDA PALMAS, QD R1, LT 22,";"77330000";"ARNALDO PRIETO";"ARRAIAS";"TO"
"23";"27-0023";"AVENIDA JOÃO DAMASCENO DE SÁ, N. 2017, ST. AEROPORTO";"77710000";"CENTRO";"PEDRO AFONSO";"TO"
"24";"27-0024";"AV. DOM PEDRO I, QD. 15, LOTE 16, SETOR JARDIM PLANALTO";"77690000";"CENTRO";"ARAGUACEMA";"TO"
"25";"27-0025";"AVENIDA MATO GROSSO QUADRA 24 LOTE 1A";"77300000";"CAVALCANTE";"DIANÓPOLIS";"TO"
"26";"27-0026";"RUA JOSÉ RIBAMAR COSTA, ESQ. COM RUA MANOEL MESSIAS DOS SANTOS";"77590000";"CENTRO";"PONTE ALTA DO TOCANTINS";"TO"
"27";"27-0027";"AVENIDA JOAO OLIVEIRA VALADARES, S/N";"77860000";"CENTRO";"WANDERLÂNDIA";"TO"
"28";"27-0028";"AV. ALFREDO NASSER, QD. 109-A, LT. 1-A";"77660000";"VILA MARIA";"MIRANORTE";"TO"
"29";"27-0029";"QUADRA 104 SUL, AVENIDA LO-01, NÚMERO 10";"77020020";"PLANO DIRETOR SUL";"PALMAS";"TO"
"30";"27-0030";"RUA ALDENOR LYRA GOMES, SN, CENTRO";"77475000";"CENTRO";"ARAGUAÇU";"TO"
"31";"27-0031";"RUA MATO GROSSO ESQUINA COM AVENIDA CASTELO BRANCO, N. 1444";"77780000";"CENTRO";"ARAPOEMA";"TO"
"32";"27-0032";"PRAÇA DR. FRANCISCO DELMONDES QUEZADO, S/N";"77770000";"CENTRO";"GOIATINS";"TO"
"33";"27-0033";"RUA C QUADRA 52, LOTE 26-A";"77720000";"CENTRO";"ITACAJÁ";"TO"
"34";"27-0034";"AVENIDA NEIEF MURAD, QUADRA 01, LOTE 02";"77800000";"SETOR NOROESTE";"ARAGUAÍNA";"TO"
"35";"27-0035";"AVENIDA CENTRAL, S/N, AO LADO DA GARAGEM PREFEITURA";"77610000";"CENTRO";"NOVO ACORDO";"TO"
