id,endereco_tse,cep,bairro,nome_municipio,uf,municipio_id
22-0017,"AV. BRASIL, 3068",76954000,PRINCESA IZABEL,ALTA FLORESTA DO OESTE,RO,1100015
22-0007,"RUA AQUARIQUARA,3631",76872856,SETOR INSTITUCIONAL,ARIQUEMES,RO,1100023
22-0025,"AV. JAMARI, 3106, 2 ANDAR, SALA 302, EDIFÍCIO JAMARI CENTER,",76870014,SETOR DE ÁREAS ESPECIAIS,ARIQUEMES,RO,1100023
22-0026,"AVENIDA JAMARI, N. 3106, 2 ANDAR",76870014,SETOR DE AREAS ESPECIAIS 01 (AV. JAMARI),ARIQUEMES,RO,1100023
22-0011,"RUA ANISIO SERRAO, N. 2004 - CENTRO",76963804,CENTRO,CACOAL,RO,1100049
22-0031,"RUA ANISIO SERRÃO, 2004",76963804,CENTRO,CACOAL,RO,1100049
22-0016,"AV. DAS NACOES, 1847",76997000,CENTRO,CEREJEIRAS,RO,1100056
22-0008,"AV. MARECHAL RONDON, 4637",76993000,CENTRO,COLORADO DO OESTE,RO,1100064
22-0005,"AV. CHIANCA, 1159",76937000,CENTRO,COSTA MARQUES,RO,1100080
22-0012,"RUA RIO GRANDE DO SUL, 2664",76974000,CENTRO,ESPIGÃO DO OESTE,RO,1100098
22-0001,"AV. CANDIDO RONDON, N 784",76850000,TAMANDARE,GUAJARÁ-MIRIM,RO,1100106
22-0010,AV. RIO BRANCO 1713,76890000,SETOR 01,JARU,RO,1100114
22-0027,"AV. RIO BRANCO, 1713",76890000,SETOR 01,JARU,RO,1100114
22-0003,"AV. MARECHAL RONDON, 1218",76900101,CENTRO,JI-PARANÁ,RO,1100122
22-0030,"AV. MARECHAL RONDON, 1218",76900100,CENTRO,JI-PARANÁ,RO,1100122
22-0032,"AV. RIO DE JANEIRO, 3134",76868000,CENTRO,MACHADINHO DO OESTE,RO,1100130
22-0033,"AV. 13 DE MAIO, ESQUINA COM A AV. TANCREDO DE ALMEIDA NEVES, 1858",76958000,SETOR 13,NOVA BRASILÂNDIA DO OESTE,RO,1100148
22-0013,RUA CAFÉ FILHO N. 083,76920000,DA UNIAO,OURO PRETO DO OESTE,RO,1100155
22-0028,"RUA CAFÉ FILHO, 083",76920000,DA UNIAO,OURO PRETO DO OESTE,RO,1100155
22-0009,AVENIDA CASTELO BRANCO N. 970,76970000,DOS PIONEIROS,PIMENTA BUENO,RO,1100189
22-0002,COMPLEXO RIO MADEIRA (CPA) AV. FARQUAR 2986,76801470,PEDRINHAS,PORTO VELHO,RO,1100205
22-0006,"C P A  COMPLEXO RIO MADEIRA CURVO 2  AV. FARQUAR, 2986, PEDRINHAS",76805866,BAIXA UNIAO,PORTO VELHO,RO,1100205
22-0020,"RUA JACY PARANA, S/N - ANEXO AO TRE",76805866,BAIXA DA UNIAO,PORTO VELHO,RO,1100205
22-0021,"AV. FARQUAR, 2986 - CURVO II - CPA",76805866,PEDRINHAS,PORTO VELHO,RO,1100205
22-0022,"AV FARQUAR, 2986",76801470,PEDRINHAS,PORTO VELHO,RO,1100205
